date_time,heart_zone_id,total_minutes
2022-05-01T12:45,CARDIO,2
2022-05-01T15:54,FAT_BURN,1
2022-05-01T15:55,CARDIO,2
2022-05-01T15:56,CARDIO,2
2022-05-01T15:57,CARDIO,2
2022-05-01T15:58,FAT_BURN,1
2022-05-01T15:59,FAT_BURN,1
2022-05-01T16:00,CARDIO,2
2022-05-01T16:01,CARDIO,2
2022-05-01T16:02,CARDIO,2
2022-05-01T16:03,CARDIO,2
2022-05-01T16:04,CARDIO,2
2022-05-01T16:05,CARDIO,2
2022-05-01T16:06,CARDIO,2
2022-05-01T16:07,CARDIO,2
2022-05-01T16:08,CARDIO,2
2022-05-01T16:09,FAT_BURN,1
2022-05-01T16:10,FAT_BURN,1
2022-05-01T21:00,FAT_BURN,1
2022-05-02T14:26,FAT_BURN,1
2022-05-02T14:27,FAT_BURN,1
2022-05-02T14:30,FAT_BURN,1
2022-05-02T14:31,FAT_BURN,1
2022-05-02T14:32,FAT_BURN,1
2022-05-02T14:33,FAT_BURN,1
2022-05-02T14:34,FAT_BURN,1
2022-05-02T14:35,FAT_BURN,1
2022-05-02T14:36,FAT_BURN,1
2022-05-02T17:53,FAT_BURN,1
2022-05-02T17:54,FAT_BURN,1
2022-05-02T17:55,FAT_BURN,1
2022-05-02T17:56,FAT_BURN,1
2022-05-02T18:03,FAT_BURN,1
2022-05-02T18:10,FAT_BURN,1
2022-05-02T18:11,FAT_BURN,1
2022-05-02T18:12,FAT_BURN,1
2022-05-02T18:13,FAT_BURN,1
2022-05-02T18:14,FAT_BURN,1
2022-05-02T18:15,FAT_BURN,1
2022-05-02T18:16,FAT_BURN,1
2022-05-03T08:24,FAT_BURN,1
2022-05-03T08:26,FAT_BURN,1
2022-05-03T08:27,FAT_BURN,1
2022-05-03T09:34,FAT_BURN,1
2022-05-03T09:35,FAT_BURN,1
2022-05-03T10:07,FAT_BURN,1
2022-05-03T10:11,FAT_BURN,1
2022-05-03T14:29,FAT_BURN,1
2022-05-03T14:30,FAT_BURN,1
2022-05-03T14:31,FAT_BURN,1
