date,readiness_score_value,srl_normalized_score,ff_normalized_score,hrv_normalized_score
2022-04-01,79.0,94.0,79.0,40.0
2022-03-31,94.0,94.0,94.0,43.0
2022-03-30,65.0,93.0,65.0,42.0
2022-03-29,86.0,92.0,86.0,62.0
2022-03-28,77.0,92.0,77.0,63.0
2022-03-27,89.0,92.0,89.0,60.0
2022-03-26,62.0,88.0,62.0,62.0
2022-03-25,72.0,83.0,72.0,75.0
2022-03-24,80.0,92.0,80.0,54.0
2022-03-23,40.0,76.0,40.0,46.0
2022-03-22,42.0,60.0,42.0,44.0
2022-03-21,55.0,95.0,55.0,67.0
2022-03-20,68.0,88.0,68.0,56.0
