date,readiness_score_value,srl_normalized_score,ff_normalized_score,hrv_normalized_score
2022-05-01,84.0,92.0,84.0,65.0
2022-04-30,62.0,95.0,62.0,59.0
2022-04-29,89.0,93.0,89.0,63.0
2022-04-28,73.0,68.0,73.0,61.0
2022-04-27,33.0,89.0,33.0,48.0
2022-04-26,100.0,95.0,100.0,51.0
2022-04-25,100.0,97.0,100.0,55.0
2022-04-24,76.0,99.0,76.0,42.0
2022-04-23,89.0,99.0,89.0,57.0
2022-04-22,41.0,97.0,41.0,56.0
2022-04-21,49.0,98.0,49.0,52.0
2022-04-20,25.0,97.0,25.0,39.0
2022-04-19,47.0,86.0,47.0,57.0
2022-04-18,43.0,50.0,43.0,55.0
2022-04-17,16.0,97.0,16.0,43.0
2022-04-16,9.0,98.0,9.0,56.0
2022-04-14,40.0,82.0,40.0,42.0
2022-04-13,22.0,54.0,22.0,36.0
2022-04-12,74.0,39.0,74.0,43.0
2022-04-11,100.0,69.0,100.0,49.0
2022-04-10,97.0,97.0,97.0,33.0
2022-04-09,92.0,96.0,92.0,30.0
2022-04-08,29.0,99.0,75.0,29.0
2022-04-07,94.0,98.0,94.0,38.0
2022-04-06,94.0,93.0,94.0,53.0
2022-04-05,99.0,95.0,99.0,43.0
2022-04-04,27.0,59.0,100.0,27.0
2022-04-03,95.0,96.0,95.0,46.0
2022-04-02,100.0,91.0,100.0,50.0
2022-04-01,79.0,94.0,79.0,40.0
