dateTime,bpm,confidence
2022-03-27 14:55:03,78,2
2022-03-27 14:55:11,78,0
2022-03-27 14:55:14,78,0
2022-03-27 14:55:15,70,2
2022-03-27 14:55:18,70,2
2022-03-27 14:55:20,78,2
2022-03-27 14:55:23,78,2
2022-03-27 14:55:25,79,2
2022-03-27 14:55:28,79,2
2022-03-27 14:55:31,79,2
2022-03-27 14:55:34,79,2
2022-03-27 14:55:37,80,2
2022-03-27 14:55:39,76,2
2022-03-27 14:55:42,76,2
2022-03-27 14:55:44,94,2
2022-03-27 14:55:47,94,2
2022-03-27 14:55:49,97,2
2022-03-27 14:55:52,97,2
2022-03-27 14:55:54,94,2
2022-03-27 14:55:57,94,2
2022-03-27 14:55:59,91,2
2022-03-27 14:56:02,91,2
2022-03-27 14:56:04,92,2
2022-03-27 14:56:06,93,2
2022-03-27 14:56:07,94,2
2022-03-27 14:56:08,95,2
2022-03-27 14:56:09,96,2
2022-03-27 14:56:10,97,2
2022-03-27 14:56:12,98,2
2022-03-27 14:56:13,99,2
2022-03-27 14:56:14,100,2
2022-03-27 14:56:15,101,2
2022-03-27 14:56:16,102,2
2022-03-27 14:56:17,103,2
2022-03-27 14:56:18,104,2
2022-03-27 14:56:19,102,2
2022-03-27 14:56:20,103,2
2022-03-27 14:56:21,104,2
2022-03-27 14:56:22,105,2
2022-03-27 14:56:24,106,2
2022-03-27 14:56:25,107,2
2022-03-27 14:56:27,108,2
2022-03-27 14:56:28,109,2
2022-03-27 14:56:29,106,2
2022-03-27 14:56:31,107,2
2022-03-27 14:56:33,108,2
2022-03-27 14:56:34,109,2
2022-03-27 14:56:36,110,2
2022-03-27 14:56:37,111,2
2022-03-27 14:56:38,112,2
2022-03-27 14:56:39,113,2
2022-03-27 14:56:40,114,2
2022-03-27 14:56:41,115,2
2022-03-27 14:56:43,116,2
2022-03-27 14:56:44,123,2
2022-03-27 14:56:46,124,2
2022-03-27 14:56:47,125,2
2022-03-27 14:56:48,126,2
2022-03-27 14:56:49,127,2
2022-03-27 14:56:50,128,2
2022-03-27 14:56:52,129,2
2022-03-27 14:56:53,130,2
2022-03-27 14:56:54,127,2
2022-03-27 14:56:56,128,2
2022-03-27 14:56:57,129,2
2022-03-27 14:56:59,136,2
2022-03-27 14:57:00,137,2
2022-03-27 14:57:02,138,2
2022-03-27 14:57:03,139,2
2022-03-27 14:57:04,144,2
2022-03-27 14:57:07,144,2
2022-03-27 14:57:09,149,2
2022-03-27 14:57:12,149,2
2022-03-27 14:57:14,152,2
2022-03-27 14:57:17,152,2
2022-03-27 14:57:19,156,2
2022-03-27 14:57:22,156,2
2022-03-27 14:57:24,157,2
2022-03-27 14:57:27,157,2
2022-03-27 14:57:28,157,2
2022-03-27 14:57:29,153,2
2022-03-27 14:57:32,153,2
2022-03-27 14:57:33,154,2
2022-03-27 14:57:34,151,2
2022-03-27 14:57:37,152,2
2022-03-27 14:57:39,150,2
2022-03-27 14:57:42,150,2
2022-03-27 14:57:44,152,2
2022-03-27 14:57:47,152,2
2022-03-27 14:57:49,149,2
2022-03-27 14:57:52,149,2
2022-03-27 14:57:54,143,2
2022-03-27 14:57:57,143,2
2022-03-27 14:57:59,140,2
2022-03-27 14:58:02,140,2
2022-03-27 14:58:04,142,2
2022-03-27 14:58:07,142,2
2022-03-27 14:58:09,145,2
2022-03-27 14:58:12,145,2
2022-03-27 14:58:14,146,2
2022-03-27 14:58:17,146,2
2022-03-27 14:58:20,146,2
2022-03-27 14:58:23,146,2
2022-03-27 14:58:24,153,2
2022-03-27 14:58:27,153,2
2022-03-27 14:58:29,159,2
2022-03-27 14:58:30,159,2
2022-03-27 14:58:33,159,2
2022-03-27 14:58:34,152,2
2022-03-27 14:58:37,152,2
2022-03-27 14:58:39,157,2
2022-03-27 14:58:42,157,2
2022-03-27 14:58:44,152,2
2022-03-27 14:58:47,152,2
2022-03-27 14:58:49,155,2
2022-03-27 14:58:52,155,2
2022-03-27 14:58:54,157,2
2022-03-27 14:58:57,158,2
2022-03-27 14:58:59,163,2
2022-03-27 14:59:02,163,2
2022-03-27 14:59:04,162,2
2022-03-27 14:59:07,162,2
2022-03-27 14:59:08,163,2
2022-03-27 14:59:09,166,2
2022-03-27 14:59:10,167,2
2022-03-27 14:59:13,167,2
2022-03-27 14:59:16,167,2
2022-03-27 14:59:19,164,2
2022-03-27 14:59:22,164,2
2022-03-27 14:59:24,159,2
2022-03-27 14:59:27,159,2
2022-03-27 14:59:29,158,2
2022-03-27 14:59:32,158,2
2022-03-27 14:59:33,158,2
2022-03-27 14:59:36,158,2
2022-03-27 14:59:39,159,2
2022-03-27 14:59:42,159,2
2022-03-27 14:59:44,161,2
2022-03-27 14:59:47,161,2
2022-03-27 14:59:49,162,2
2022-03-27 14:59:52,162,2
2022-03-27 14:59:54,163,2
2022-03-27 14:59:57,163,2
2022-03-27 14:59:59,171,2
2022-03-27 15:00:00,170,2
2022-03-27 15:00:03,170,2
2022-03-27 15:00:04,165,2
2022-03-27 15:00:07,165,2
2022-03-27 15:00:09,163,2
2022-03-27 15:00:12,163,2
2022-03-27 15:00:14,155,2
2022-03-27 15:00:17,155,2
2022-03-27 15:00:19,152,2
2022-03-27 15:00:22,152,2
2022-03-27 15:00:25,152,2
2022-03-27 15:00:27,151,2
2022-03-27 15:00:29,149,2
2022-03-27 15:00:32,148,2
2022-03-27 15:00:34,150,2
2022-03-27 15:00:35,149,2
2022-03-27 15:00:38,149,2
2022-03-27 15:00:39,148,2
2022-03-27 15:00:42,148,2
2022-03-27 15:00:44,147,2
2022-03-27 15:00:45,146,2
2022-03-27 15:00:48,146,2
2022-03-27 15:00:49,143,2
2022-03-27 15:00:51,142,2
2022-03-27 15:00:54,137,2
2022-03-27 15:00:56,136,2
2022-03-27 15:00:57,135,2
2022-03-27 15:00:59,133,2
2022-03-27 15:01:01,132,2
2022-03-27 15:01:03,131,2
2022-03-27 15:01:04,129,2
2022-03-27 15:01:05,128,2
2022-03-27 15:01:07,127,2
2022-03-27 15:01:09,123,2
2022-03-27 15:01:10,122,2
2022-03-27 15:01:12,121,2
2022-03-27 15:01:14,118,2
2022-03-27 15:01:15,117,2
2022-03-27 15:01:18,116,2
2022-03-27 15:01:19,108,2
2022-03-27 15:01:22,107,2
2022-03-27 15:01:24,109,2
2022-03-27 15:01:25,109,2
2022-03-27 15:01:27,108,2
2022-03-27 15:01:29,109,2
2022-03-27 15:01:30,108,2
2022-03-27 15:01:33,107,2
2022-03-27 15:01:34,106,2
2022-03-27 15:01:36,105,2
2022-03-27 15:01:39,106,2
2022-03-27 15:01:41,105,2
2022-03-27 15:01:44,104,2
2022-03-27 15:01:45,103,2
2022-03-27 15:01:48,103,2
2022-03-27 15:01:49,104,2
2022-03-27 15:01:52,104,2
2022-03-27 15:01:54,102,2
2022-03-27 15:01:57,102,2
2022-03-27 15:01:59,111,2
2022-03-27 15:02:02,111,2
2022-03-27 15:02:04,117,2
2022-03-27 15:02:07,117,2
2022-03-27 15:02:08,118,2
2022-03-27 15:02:09,121,2
2022-03-27 15:02:11,122,2
2022-03-27 15:02:13,123,2
2022-03-27 15:02:14,121,2
2022-03-27 15:02:16,122,2
2022-03-27 15:02:17,123,2
2022-03-27 15:02:18,124,2
2022-03-27 15:02:19,121,2
2022-03-27 15:02:20,122,2
2022-03-27 15:02:21,123,2
2022-03-27 15:02:22,124,2
2022-03-27 15:02:23,125,2
2022-03-27 15:02:24,132,2
2022-03-27 15:02:25,133,2
2022-03-27 15:02:27,134,2
2022-03-27 15:02:28,135,2
2022-03-27 15:02:29,150,2
2022-03-27 15:02:32,151,2
2022-03-27 15:02:34,148,2
2022-03-27 15:02:37,148,2
2022-03-27 15:02:39,146,2
2022-03-27 15:02:42,146,2
2022-03-27 15:02:44,145,2
2022-03-27 15:02:47,145,2
2022-03-27 15:02:49,143,2
2022-03-27 15:02:52,143,2
2022-03-27 15:02:54,145,2
2022-03-27 15:02:57,145,2
2022-03-27 15:03:00,145,2
2022-03-27 15:03:03,145,2
2022-03-27 15:03:04,152,2
2022-03-27 15:03:07,152,2
2022-03-27 15:03:09,154,2
2022-03-27 15:03:12,154,2
2022-03-27 15:03:13,155,2
2022-03-27 15:03:16,155,2
2022-03-27 15:03:19,151,2
2022-03-27 15:03:22,151,2
2022-03-27 15:03:24,154,2
2022-03-27 15:03:27,154,2
2022-03-27 15:03:29,157,2
2022-03-27 15:03:32,157,2
2022-03-27 15:03:34,155,2
2022-03-27 15:03:37,155,2
2022-03-27 15:03:39,152,2
2022-03-27 15:03:42,152,2
2022-03-27 15:03:43,151,2
2022-03-27 15:03:44,147,2
2022-03-27 15:03:47,147,2
2022-03-27 15:03:49,140,2
2022-03-27 15:03:52,140,2
2022-03-27 15:03:54,134,2
2022-03-27 15:03:55,133,2
2022-03-27 15:03:57,132,2
2022-03-27 15:03:59,131,2
2022-03-27 15:04:00,130,2
2022-03-27 15:04:02,129,2
2022-03-27 15:04:03,129,2
2022-03-27 15:04:04,128,2
2022-03-27 15:04:05,127,2
2022-03-27 15:04:07,126,2
2022-03-27 15:04:09,123,2
2022-03-27 15:04:10,122,2
2022-03-27 15:04:12,121,2
2022-03-27 15:04:14,120,2
2022-03-27 15:04:16,119,2
2022-03-27 15:04:18,118,2
2022-03-27 15:04:21,117,2
2022-03-27 15:04:24,117,2
2022-03-27 15:04:25,116,2
2022-03-27 15:04:27,115,2
2022-03-27 15:04:30,115,2
2022-03-27 15:04:32,114,2
2022-03-27 15:04:34,115,2
2022-03-27 15:04:35,114,2
2022-03-27 15:04:38,113,2
2022-03-27 15:04:39,118,2
2022-03-27 15:04:42,118,2
2022-03-27 15:04:45,118,2
2022-03-27 15:04:46,119,2
2022-03-27 15:04:49,118,2
2022-03-27 15:04:52,118,2
2022-03-27 15:04:55,118,2
2022-03-27 15:04:56,117,2
2022-03-27 15:04:57,117,2
2022-03-27 15:04:58,118,2
2022-03-27 15:04:59,124,2
2022-03-27 15:05:01,125,2
2022-03-27 15:05:03,126,2
