timestamp,rmssd,coverage,low_frequency,high_frequency
2022-05-31T00:40:00,38.195,0.759,553.456,312.689
2022-05-31T00:45:00,29.293,0.854,819.188,291.906
2022-05-31T00:50:00,36.204,0.972,204.653,318.13
2022-05-31T00:55:00,41.932,1.005,602.735,387.325
2022-05-31T01:00:00,45.578,1.0,370.205,462.636
2022-05-31T01:05:00,40.679,0.988,413.401,360.665
2022-05-31T01:10:00,38.653,1.005,272.37,301.308
2022-05-31T01:15:00,40.463,0.995,164.387,361.799
2022-05-31T01:20:00,40.024,0.996,344.138,333.776
2022-05-31T01:25:00,40.134,1.003,161.579,334.838
2022-05-31T01:30:00,42.115,1.003,404.65,351.894
2022-05-31T01:35:00,45.284,0.965,1370.428,478.107
2022-05-31T01:40:00,45.998,0.985,918.174,498.952
2022-05-31T01:45:00,46.256,0.989,983.073,428.737
2022-05-31T01:50:00,43.134,0.995,379.628,354.869
2022-05-31T01:55:00,46.744,1.004,470.07,430.569
2022-05-31T02:00:00,51.454,0.964,1907.018,520.89
2022-05-31T02:05:00,46.804,0.97,733.442,363.74
2022-05-31T02:10:00,37.74,0.957,1506.566,280.86
2022-05-31T02:15:00,57.876,0.95,1483.021,597.372
2022-05-31T02:20:00,40.625,0.736,735.97,178.518
2022-05-31T02:25:00,46.288,1.005,334.004,543.32
2022-05-31T02:30:00,54.472,0.934,390.792,527.284
2022-05-31T02:35:00,59.352,0.777,792.518,808.932
2022-05-31T02:40:00,56.621,1.004,1667.934,551.766
2022-05-31T02:45:00,58.734,0.897,712.72,693.136
2022-05-31T02:50:00,53.068,0.992,365.652,486.726
2022-05-31T02:55:00,54.197,1.002,249.723,468.255
2022-05-31T03:00:00,55.03,1.003,839.388,708.138
2022-05-31T03:05:00,57.846,0.997,699.574,575.634
2022-05-31T03:10:00,55.469,0.99,1313.552,573.352
2022-05-31T03:15:00,55.435,0.999,629.789,535.426
2022-05-31T03:20:00,54.102,0.995,320.448,526.662
2022-05-31T03:25:00,54.107,0.92,2230.909,522.094
2022-05-31T03:30:00,49.847,0.965,2076.207,351.453
2022-05-31T03:35:00,54.19,0.91,1621.245,629.947
2022-05-31T03:40:00,51.662,0.939,700.514,372.622
2022-05-31T03:45:00,34.021,0.995,689.598,143.37
2022-05-31T03:50:00,37.833,0.898,999.423,260.881
2022-05-31T03:55:00,35.751,0.98,484.474,196.062
2022-05-31T04:00:00,44.958,0.934,1629.823,307.047
2022-05-31T04:05:00,52.981,0.898,2107.222,345.247
2022-05-31T04:10:00,49.365,1.005,1608.081,457.05
2022-05-31T04:15:00,52.193,0.978,1339.584,618.621
2022-05-31T04:20:00,58.904,0.975,1123.603,715.825
2022-05-31T04:25:00,66.718,0.919,1391.941,714.021
2022-05-31T04:30:00,56.566,1.007,631.643,536.752
2022-05-31T04:35:00,56.565,0.984,291.238,567.002
2022-05-31T04:40:00,55.028,1.005,353.525,499.434
2022-05-31T04:45:00,64.454,0.97,2721.48,897.764
2022-05-31T04:50:00,62.909,0.993,299.156,773.537
2022-05-31T04:55:00,68.361,1.004,1293.724,789.62
2022-05-31T05:00:00,67.743,0.955,1643.682,764.717
2022-05-31T05:05:00,65.954,0.996,374.211,829.735
2022-05-31T05:10:00,60.715,1.003,422.651,627.676
2022-05-31T05:15:00,65.527,0.961,629.755,665.061
2022-05-31T05:20:00,62.539,0.873,3368.977,645.009
2022-05-31T05:25:00,46.732,0.948,1541.392,403.564
2022-05-31T05:30:00,48.027,0.937,2124.87,747.666
2022-05-31T05:35:00,49.664,0.985,1311.047,435.442
2022-05-31T05:40:00,53.689,0.947,3461.846,443.977
2022-05-31T05:45:00,44.582,0.964,3394.347,352.502
2022-05-31T05:50:00,42.569,0.978,1438.779,302.703
2022-05-31T05:55:00,44.098,0.983,2237.607,462.216
2022-05-31T06:00:00,45.975,0.976,1934.131,364.237
2022-05-31T06:05:00,44.82,0.992,1681.362,367.602
2022-05-31T06:10:00,47.526,0.981,1542.289,369.577
2022-05-31T06:15:00,36.331,0.987,646.624,217.168
2022-05-31T06:20:00,43.238,0.996,1044.9,314.728
2022-05-31T06:25:00,34.067,0.989,539.603,174.958
2022-05-31T06:30:00,43.183,1.001,2812.651,284.345
2022-05-31T06:35:00,45.36,0.961,1186.6,364.695
2022-05-31T06:40:00,48.123,0.994,1213.282,519.24
2022-05-31T06:45:00,45.781,1.002,643.712,460.597
2022-05-31T06:50:00,47.158,0.842,1221.063,407.848
2022-05-31T06:55:00,47.804,0.936,2416.91,424.47
2022-05-31T07:00:00,44.854,0.919,1024.413,323.593
2022-05-31T07:05:00,44.095,0.988,204.426,327.805
2022-05-31T07:10:00,42.343,0.906,2457.631,383.661
2022-05-31T07:15:00,45.634,0.999,922.618,439.273
2022-05-31T07:20:00,49.605,0.996,838.876,458.481
2022-05-31T07:25:00,49.354,0.978,932.178,439.357
2022-05-31T07:30:00,51.11,0.795,3263.585,463.658
2022-05-31T07:35:00,49.93,0.921,1248.535,454.449
2022-05-31T07:40:00,61.523,0.908,5665.404,558.888
2022-05-31T07:45:00,38.933,0.968,1037.863,195.393
2022-05-31T07:50:00,51.261,0.939,2984.45,450.831
2022-05-31T07:55:00,51.645,0.946,3063.096,454.844
2022-05-31T08:00:00,29.208,0.828,1325.143,173.658
2022-05-31T08:05:00,45.869,0.996,1077.664,341.095
2022-05-31T08:10:00,44.411,0.946,1324.323,270.541
2022-05-31T08:15:00,40.662,0.93,1274.865,335.165
2022-05-31T08:20:00,41.089,0.94,793.435,343.808
2022-05-31T08:25:00,41.353,0.9,602.879,353.691
2022-05-31T08:30:00,43.381,1.0,591.619,417.513
