type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-05-01T01:08:30,2022-05-01T09:49,520,32.04653846153846,510.0161559888584,1697.5777680184692,0.9627311576872735,1.9867988070991114
IDT,2022-05-02T01:50,2022-05-02T07:31:30,336,30.397321428571427,-224.58802228412242,1196.265981409233,0.918348982774582,1.900470993635596
IDT,2022-05-03T23:04:30,2022-05-04T07:29:30,505,31.672871287128714,304.39970458755306,1475.4818616890116,0.9081109324367754,1.8652899118689639
IDT,2022-05-05T00:45:30,2022-05-05T07:15:30,390,31.384615384615383,122.66115799830914,1994.7665632858407,0.8442287984994364,1.8837173758656627
IDT,2022-05-06T00:20,2022-05-06T07:42:30,443,33.089164785553045,894.4458794698749,2405.5925311526516,0.9174351451574907,1.9110519647355566
IDT,2022-05-07T02:14,2022-05-07T08:47:30,393,32.06590330788804,352.62159071173846,802.7949268093798,0.9326365703562486,1.8949089536348944
IDT,2022-05-09T00:55,2022-05-09T07:37:30,403,31.599007444168734,117.78240131578968,1293.7031614384614,0.9451968168650593,1.8746555311335864
IDT,2022-05-10T23:30,2022-05-11T07:41,491,32.825254582484725,756.3688227804523,1375.007323980215,0.9953321417387136,1.9049857102111243
IDT,2022-05-12T02:53,2022-05-12T07:44:30,279,31.82652329749104,134.15544660931118,1183.9115550356219,0.9997885425429647,1.9076505475294219
IDT,2022-05-12T22:46:30,2022-05-13T07:45:30,539,29.790909090909093,-805.2010275383655,3460.6187286619097,1.030069564728283,1.9321651998498366
IDT,2022-05-14T06:10,2022-05-14T10:01,226,32.44424778761062,248.276454959514,678.1261862268439,1.0370860326916842,1.9293470976898741
IDT,2022-05-15T04:18,2022-05-15T12:25,487,31.550102669404517,80.59230769230817,589.5144970414694,1.018230351810768,1.9024966262905105
IDT,2022-05-16T00:14,2022-05-16T07:36:30,443,31.912866817155756,232.633730834752,1104.4802093050675,1.0251724135463145,1.8941713906020916
IDT,2022-05-17T02:23,2022-05-17T08:04,341,30.809384164222873,-196.15384615384573,1415.143786982284,1.0296652231458234,1.8993674283572641
IDT,2022-05-17T23:39,2022-05-18T07:32,469,28.385927505330493,-1349.2689938398362,5637.207415218698,1.1390400750724436,1.9809465299935933
IDT,2022-05-18T21:46,2022-05-19T06:45:30,540,30.671666666666667,-319.2301848049283,1650.974853501073,1.1193711463708265,1.9673387233471173
IDT,2022-05-19T23:54:30,2022-05-20T07:01:30,426,32.53239436619718,488.9538461538468,809.9039053254528,1.0687474172029812,1.917506102315558
IDT,2022-05-20T22:30:30,2022-05-21T10:23,712,32.37851123595505,589.8268993839847,1964.4588781418279,1.0854487734916125,1.9058657900896645
IDT,2022-05-22T01:29,2022-05-22T09:00:30,452,32.00575221238938,183.84863523573222,884.7645147744333,1.0925895669974433,1.9098334642306956
IDT,2022-05-23T04:26:30,2022-05-23T08:12,225,32.34088888888889,150.30396039603875,231.66951338102808,1.1061426245114525,1.8885198043527536
IDT,2022-05-23T22:39:30,2022-05-24T08:35:30,596,31.092114093959733,-346.13128712871185,1980.1511710225604,1.0247437338511027,1.8462146522218716
IDT,2022-05-24T23:05,2022-05-25T08:54,589,32.342614601018674,394.4788118811848,453.47992024291307,1.0254810292125909,1.8151474781918968
IDT,2022-05-26T00:18:30,2022-05-26T09:11,532,32.03815789473684,112.58960573476725,340.6832506004721,1.000812117183468,1.7791955693956938
IDT,2022-05-27T00:46,2022-05-27T09:15:30,510,31.82549019607843,-0.5268817204305378,635.6691717732465,0.993235271595726,1.7664841645962104
IDT,2022-05-27T23:15,2022-05-28T09:38,623,30.06163723916533,-1098.8803921568615,4534.476559015922,1.0332445405906767,1.8492855752531507
IDT,2022-05-31T00:40,2022-05-31T08:39,479,32.73068893528183,433.0953405017917,776.9487974203657,1.0853699860173338,1.841114807828075
IDT,2022-06-01T01:17,2022-06-01T04:59:30,223,31.734529147982062,-20.51469534050193,187.07135751080932,1.0566650474427914,1.8248042816887877
