timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-05-01T09:49:00,16.0,1.4,11.326,16.0,1.4,11.326,15.6,1.8,11.918,12.0,0.6,2.852
2022-05-02T07:31:30,16.0,1.5,7.958,16.0,1.5,7.958,15.4,1.4,10.069,-1.0,0.0,2.127
2022-05-04T07:29:30,16.2,1.3,13.079,16.2,1.3,13.079,15.2,1.8,11.656,14.8,2.5,6.351
2022-05-05T07:15:30,16.0,0.9,11.77,16.0,0.9,11.77,15.2,1.7,10.437,14.0,1.9,4.807
2022-05-06T07:42:30,16.2,0.9,9.932,16.2,0.9,9.932,14.8,1.9,11.205,15.0,1.9,6.211
2022-05-07T08:47:30,16.0,2.2,14.71,16.0,2.2,14.71,14.8,1.6,11.772,14.8,2.0,4.736
2022-05-09T07:37:30,16.4,0.9,7.798,16.4,0.9,7.798,15.6,1.8,12.082,15.0,2.1,3.569
2022-05-11T07:41:00,15.6,1.9,11.026,15.6,1.9,11.026,15.4,2.1,10.197,15.0,2.2,5.778
2022-05-12T07:44:30,16.4,1.0,8.345,16.4,1.0,8.345,15.4,1.5,9.634,12.6,0.4,2.896
2022-05-13T07:45:30,17.0,1.2,10.61,17.0,1.2,10.61,15.8,1.6,15.679,15.6,1.1,3.445
2022-05-14T10:01:00,15.6,1.4,5.589,15.6,1.4,5.589,15.6,1.3,6.987,18.4,0.5,2.62
2022-05-15T12:25:00,16.6,1.1,8.615,16.6,1.1,8.615,15.2,1.8,14.904,14.8,1.8,5.475
2022-05-16T07:36:30,15.2,1.4,12.23,15.2,1.4,12.23,14.4,1.5,13.856,14.4,2.5,4.236
2022-05-17T08:04:00,16.2,1.5,10.778,16.2,1.5,10.778,15.0,2.1,6.57,14.2,2.5,4.737
2022-05-18T07:32:00,16.2,1.3,13.804,16.2,1.3,13.804,15.2,2.1,12.662,14.4,2.1,5.099
2022-05-19T06:45:30,17.6,1.0,8.184,17.6,1.0,8.184,16.0,2.3,13.993,15.4,2.9,4.083
2022-05-20T07:01:30,17.2,1.6,7.704,17.2,1.6,7.704,16.4,2.0,13.337,16.2,3.4,5.804
2022-05-21T07:39:00,17.0,1.2,12.677,17.0,1.2,12.677,15.6,1.9,11.911,15.6,2.6,5.313
2022-05-21T10:23:00,16.8,1.3,14.175,16.8,1.3,14.175,15.6,2.1,13.402,15.4,2.7,4.829
2022-05-22T09:00:30,17.4,1.1,11.513,17.4,1.1,11.513,16.0,1.7,14.432,-1.0,0.0,2.417
2022-05-22T14:50:00,17.2,2.0,6.137,17.2,2.0,6.137,16.2,2.1,9.52,15.0,0.4,2.753
2022-05-23T08:12:00,16.8,1.4,10.026,16.8,1.4,10.026,15.8,2.1,9.611,-1.0,0.0,2.197
2022-05-24T08:35:30,16.2,1.3,13.576,16.2,1.3,13.576,15.2,1.7,17.853,15.2,1.7,7.597
2022-05-25T08:54:00,16.2,1.4,9.973,16.2,1.4,9.973,15.4,2.0,14.587,15.0,0.8,4.103
2022-05-26T09:11:00,16.2,1.8,12.106,16.2,1.8,12.106,15.4,1.8,10.919,15.4,2.5,5.401
2022-05-27T09:15:30,16.2,1.3,15.704,16.2,1.3,15.704,15.0,1.7,11.861,10.8,0.7,3.667
2022-05-28T07:38:30,16.8,1.2,12.306,16.8,1.2,12.306,16.4,1.3,11.827,16.6,2.3,7.449
2022-05-28T09:38:00,16.8,1.2,13.154,16.8,1.2,13.154,16.2,1.6,13.551,16.6,1.9,5.756
2022-05-31T08:39:00,16.4,1.9,5.774,16.4,1.9,5.774,15.8,1.6,11.669,15.6,1.7,7.548
