recorded_time,temperature,sensor_type
2022-04-27T00:00,-1.4636363636363647,UNKNOWN
2022-04-27T00:01,-1.2636363636363654,UNKNOWN
2022-04-27T00:02,-1.2636363636363654,UNKNOWN
2022-04-27T00:03,-1.163636363636364,UNKNOWN
2022-04-27T00:04,-1.163636363636364,UNKNOWN
2022-04-27T00:05,-1.163636363636364,UNKNOWN
2022-04-27T00:06,-1.163636363636364,UNKNOWN
2022-04-27T00:07,-1.0636363636363662,UNKNOWN
2022-04-27T00:08,-0.9636363636363647,UNKNOWN
2022-04-27T00:09,-0.9636363636363647,UNKNOWN
2022-04-27T00:10,-0.9636363636363647,UNKNOWN
2022-04-27T00:11,-0.8636363636363633,UNKNOWN
2022-04-27T00:12,-0.7636363636363654,UNKNOWN
2022-04-27T00:13,-0.7636363636363654,UNKNOWN
2022-04-27T00:14,-0.7636363636363654,UNKNOWN
2022-04-27T00:15,-0.7636363636363654,UNKNOWN
2022-04-27T00:16,-0.663636363636364,UNKNOWN
2022-04-27T00:17,-0.663636363636364,UNKNOWN
2022-04-27T00:18,-0.663636363636364,UNKNOWN
2022-04-27T00:19,-0.7636363636363654,UNKNOWN
2022-04-27T00:20,-0.7636363636363654,UNKNOWN
2022-04-27T00:21,-0.7636363636363654,UNKNOWN
2022-04-27T00:22,-0.663636363636364,UNKNOWN
2022-04-27T00:23,-0.663636363636364,UNKNOWN
2022-04-27T00:24,-0.5636363636363662,UNKNOWN
2022-04-27T00:25,-0.5636363636363662,UNKNOWN
2022-04-27T00:26,-0.46363636363636473,UNKNOWN
2022-04-27T00:27,-0.46363636363636473,UNKNOWN
2022-04-27T00:28,-0.46363636363636473,UNKNOWN
2022-04-27T00:29,-0.46363636363636473,UNKNOWN
2022-04-27T00:30,-0.46363636363636473,UNKNOWN
2022-04-27T00:31,-0.46363636363636473,UNKNOWN
2022-04-27T00:32,-0.46363636363636473,UNKNOWN
2022-04-27T00:33,-0.46363636363636473,UNKNOWN
2022-04-27T00:34,-0.5636363636363662,UNKNOWN
2022-04-27T00:35,-0.663636363636364,UNKNOWN
2022-04-27T00:36,-0.663636363636364,UNKNOWN
2022-04-27T00:37,-0.663636363636364,UNKNOWN
2022-04-27T00:38,-0.7636363636363654,UNKNOWN
2022-04-27T00:39,-0.7636363636363654,UNKNOWN
2022-04-27T00:40,-0.7636363636363654,UNKNOWN
2022-04-27T00:41,-0.7636363636363654,UNKNOWN
2022-04-27T00:42,-0.7636363636363654,UNKNOWN
2022-04-27T00:43,-0.7636363636363654,UNKNOWN
2022-04-27T00:44,-0.7636363636363654,UNKNOWN
2022-04-27T00:45,-0.7636363636363654,UNKNOWN
2022-04-27T00:46,-0.7636363636363654,UNKNOWN
2022-04-27T00:47,-0.7636363636363654,UNKNOWN
2022-04-27T00:48,-0.7636363636363654,UNKNOWN
2022-04-27T00:49,-0.7636363636363654,UNKNOWN
2022-04-27T00:50,-0.7636363636363654,UNKNOWN
2022-04-27T00:51,-0.7636363636363654,UNKNOWN
2022-04-27T00:52,-0.8636363636363633,UNKNOWN
2022-04-27T00:53,-0.7636363636363654,UNKNOWN
