type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-03-31T22:48,2022-04-01T07:41:30,532,29.049812030075188,-1428.4639344262323,7125.173612700077,1.3791430984716837,2.116099098845187
IDT,2022-04-01T23:01:30,2022-04-02T10:33:30,634,29.44353312302839,-1286.3717190881325,7261.237728185719,1.4066044711584411,2.1745185945799506
IDT,2022-04-03T00:42:30,2022-04-03T10:17:30,573,32.23228621291449,285.0053864168585,1216.6719900290482,1.3891092861718948,2.162422893482946
IDT,2022-04-04T04:29,2022-04-04T14:12:30,572,30.48146853146853,-566.8760620164212,4365.081590362126,1.371743176484457,2.1845868013442047
IDT,2022-04-04T23:42:30,2022-04-05T09:04,561,32.895365418894826,644.2667120527185,1671.3002785369754,1.403778872104858,2.1908100327330504
IDT,2022-04-06T01:39:30,2022-04-06T10:47:30,546,31.70970695970696,-6.876229508197866,1343.5251511582173,1.3539196760446341,2.1731063249058185
IDT,2022-04-07T03:41,2022-04-07T11:51,490,31.02408163265306,-213.55921778643278,1879.9124479622114,1.3362139168673117,2.191734062840236
IDT,2022-04-07T23:27:30,2022-04-08T09:41:30,603,31.07446102819237,-40.90316455695938,1618.1412750759628,1.324326634860978,2.1857955975875694
IDT,2022-04-08T23:38,2022-04-09T10:37,629,30.60381558028617,-338.7028034930845,3463.5549270177726,1.3297265885709995,2.1913925519844595
IDT,2022-04-09T23:39:30,2022-04-10T11:27:30,697,31.74576757532281,420.6212177509078,1643.2638864021283,1.3020809375569102,2.203493199089639
IDT,2022-04-11T00:44:30,2022-04-11T07:36:30,412,32.08616504854369,388.8749522430044,553.3990254417295,1.27409945522487,2.192020197728745
IDT,2022-04-12T00:50,2022-04-12T07:10:30,381,30.96351706036745,-32.67237689105423,1379.5846829703078,1.2686473639732165,2.1983103757107774
IDT,2022-04-13T00:38:30,2022-04-13T07:41:30,423,31.991962174940898,398.758227231192,2205.2384013819974,1.2600218289572926,2.2448033052641794
IDT,2022-04-13T22:45:30,2022-04-14T07:18,512,30.2,-419.76850698173985,1744.61156143283,1.2725674699348564,2.1958452875508008
IDT,2022-04-15T23:50,2022-04-16T10:19,608,31.30674342105263,171.8583673469402,2057.8601454396266,1.2594887904990448,2.1887689501610272
IDT,2022-04-17T01:27:30,2022-04-17T11:23:30,587,31.387734241908007,213.46408163265005,2160.2984568094835,1.2507047179382067,2.2036546705446316
IDT,2022-04-18T04:16,2022-04-18T07:40:30,205,32.57853658536585,308.33548922056434,1020.9254337213351,1.2833072928967189,2.2187036724852556
IDT,2022-04-19T02:14,2022-04-19T07:55:30,342,29.97543859649123,-358.6359183673467,1525.6147425238742,1.24167415185911,2.23450566012141
IDT,2022-04-20T01:18,2022-04-20T07:44,386,29.090155440414506,-744.866100966703,2968.094374013832,1.2745374438555925,2.2408368837118244
IDT,2022-04-21T02:01,2022-04-21T07:52,351,30.892877492877496,-33.96284347231813,1085.538446543389,1.1573860464982728,2.2134609068521796
IDT,2022-04-21T23:13,2022-04-22T07:21:30,487,31.262833675564682,120.38375939849539,808.8155021086568,1.1376875688308468,2.1919773947137413
IDT,2022-04-22T23:23,2022-04-23T11:20:30,718,31.06573816155989,32.94025778732612,2959.4083852134645,1.1170628133914786,2.188000933656784
IDT,2022-04-23T22:20:30,2022-04-24T09:35:30,660,29.30166666666667,-1131.2218045112822,3823.5711530328263,1.1350542525390261,2.182232096717681
IDT,2022-04-25T01:04,2022-04-25T07:43:30,400,32.31925,518.0673469387766,1235.3462149105035,1.080705889323317,2.13952208671583
IDT,2022-04-25T23:59,2022-04-26T07:53:30,475,30.272,-357.2387755102027,1529.510321532609,1.0878476190685828,2.1408408787234023
IDT,2022-04-27T00:33:30,2022-04-27T07:38,424,30.897169811320754,-28.181818181819835,905.3697520662099,1.0765705459798898,2.147946844973614
IDT,2022-04-28T01:36,2022-04-28T07:38:30,363,31.909090909090907,321.25836734693803,464.21663523535244,1.0929556916538339,2.1474866774498937
IDT,2022-04-28T22:01,2022-04-29T07:10:30,550,31.028,3.637978807091713E-12,1522.6887999998871,1.0407512798992147,2.112242225641796
IDT,2022-04-30T00:16:30,2022-04-30T07:50:30,444,30.96734234234234,-26.93199999999888,1439.6300960000372,1.0199062403737817,2.0678929536290287
IDT,2022-05-01T01:08:30,2022-05-01T09:49,520,32.04653846153846,510.0161559888584,1697.5777680184692,0.9627311576872735,1.9867988070991114
