timestamp,bucket_values
2022-05-01T09:49:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.007, 0.01, 0.02, 0.036, 0.067, 0.124, 0.191, 0.242, 0.19, 0.086, 0.016, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-02T07:31:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.004, 0.009, 0.017, 0.028, 0.053, 0.119, 0.222, 0.249, 0.178, 0.08, 0.027, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-04T07:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.009, 0.023, 0.049, 0.093, 0.139, 0.175, 0.196, 0.165, 0.091, 0.035, 0.012, 0.003, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-05T07:15:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.003, 0.006, 0.015, 0.029, 0.063, 0.137, 0.214, 0.226, 0.174, 0.082, 0.03, 0.009, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-06T07:42:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.002, 0.005, 0.014, 0.037, 0.094, 0.18, 0.235, 0.206, 0.133, 0.06, 0.021, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-07T08:47:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.005, 0.007, 0.014, 0.025, 0.043, 0.089, 0.17, 0.242, 0.233, 0.12, 0.035, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-09T07:37:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.008, 0.031, 0.056, 0.039, 0.045, 0.096, 0.198, 0.258, 0.185, 0.063, 0.014, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-11T07:41:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.006, 0.015, 0.028, 0.046, 0.093, 0.178, 0.24, 0.212, 0.12, 0.04, 0.01, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-12T07:44:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.003, 0.01, 0.024, 0.057, 0.122, 0.214, 0.254, 0.193, 0.079, 0.027, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-13T07:45:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.008, 0.016, 0.036, 0.065, 0.144, 0.215, 0.205, 0.147, 0.096, 0.045, 0.012, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-14T10:01:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.009, 0.03, 0.057, 0.118, 0.201, 0.216, 0.19, 0.092, 0.05, 0.021, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-15T12:25:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.007, 0.014, 0.028, 0.054, 0.097, 0.153, 0.211, 0.243, 0.137, 0.043, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-16T07:36:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.004, 0.006, 0.012, 0.026, 0.072, 0.164, 0.238, 0.215, 0.15, 0.073, 0.026, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-05-17T08:04:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.002, 0.005, 0.021, 0.05, 0.069, 0.123, 0.211, 0.22, 0.166, 0.091, 0.028, 0.008, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
