type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-03-06T01:11,2022-03-06T10:24:30,540,30.976666666666667,NaN,NaN,NaN,NaN
IDT,2022-03-07T00:22:30,2022-03-07T07:00:30,398,33.25,NaN,NaN,NaN,NaN
IDT,2022-03-07T22:58,2022-03-08T07:00,482,32.434647302904565,0.0,484.4913900415413,1.1517054022007185,1.0036227414496801
IDT,2022-03-08T22:52:30,2022-03-09T06:56:30,474,32.16729957805907,-63.36141078838227,1438.252907968592,0.9407387938960436,1.4173734480387574
IDT,2022-03-09T23:07:30,2022-03-10T07:42:30,501,31.047105788423153,-561.2170886075946,2901.660200688988,0.9658593038872859,1.769060975980066
IDT,2022-03-10T23:32,2022-03-11T09:00,567,32.65714285714286,201.94805924680622,662.6362938862294,0.9076495981210235,1.6336173525494722
IDT,2022-03-12T05:42,2022-03-12T09:47:30,243,32.7962962962963,87.88070539419095,879.4886353110196,0.8706482369789926,1.6696633333376802
IDT,2022-03-13T02:13:30,2022-03-13T10:06:30,473,31.758985200845665,-256.3604373479011,1694.7486550470348,0.8203336855517428,1.7019366730047387
IDT,2022-03-13T23:02,2022-03-14T06:58:30,477,32.26331236897275,0.0,161.44796645711176,0.7685241478153365,1.5884095163766065
IDT,2022-03-15T05:03:30,2022-03-15T11:45:30,395,31.21012658227848,-397.0458595387845,4110.581809055293,0.7831797359520188,1.8277358044766476
IDT,2022-03-16T01:18,2022-03-16T07:38:30,381,29.896587926509188,-865.1411392405062,4339.711629413068,0.9879322750727613,1.9902591299937131
IDT,2022-03-16T21:38,2022-03-17T07:44:30,587,32.10971039182283,-16.9024261603372,930.7413492510095,0.9447143373506294,1.9177270156354154
IDT,2022-03-18T00:49,2022-03-18T07:38:30,400,31.8725,-94.88415672913106,756.725007995381,0.9044979448007077,1.8793212700588824
IDT,2022-03-18T22:21,2022-03-19T09:28:30,668,30.702694610778444,-860.6582708688256,3392.036376070231,0.9242255390440052,1.8978135882280296
IDT,2022-03-20T00:58:30,2022-03-20T09:54:30,536,33.02817164179104,492.29522998296306,760.0387004925869,0.9457306087509785,1.8704641432610085
IDT,2022-03-22T01:56:30,2022-03-22T07:40:30,344,33.5703488372093,492.55428518031295,2058.618383283494,1.0068587238662199,1.9196375210673642
IDT,2022-03-26T00:01,2022-03-26T07:15:30,435,28.552183908045976,-1547.5240204429301,6234.203112293966,1.2818461417435376,2.046446865773826
IDT,2022-03-26T23:01:30,2022-03-27T11:06:30,665,31.015639097744362,-648.6849552810891,2531.3875356509816,1.256623265034955,2.0225600321671022
IDT,2022-03-28T00:33,2022-03-28T07:39:30,427,31.73489461358314,-58.75749999999971,495.47541874996386,1.2212187411683102,1.9854685732030433
IDT,2022-03-28T23:45,2022-03-29T07:16:30,451,30.963636363636365,-384.2999127906951,1446.3279888490215,1.2012305124541027,1.967365971967827
IDT,2022-03-29T23:11,2022-03-30T07:16:30,486,29.19053497942387,-1248.266807610993,4269.7276193073485,1.2925861309464053,1.9981907467882307
IDT,2022-03-30T22:32,2022-03-31T08:20,585,29.91042735042735,-1074.359845720428,5291.1817403356545,1.3107459530529253,2.043984080014731
IDT,2022-03-31T22:48,2022-04-01T07:41:30,532,29.049812030075188,-1428.4639344262323,7125.173612700077,1.3791430984716837,2.116099098845187
