timestamp,rmssd,coverage,low_frequency,high_frequency
2022-04-26T00:05:00,33.987,0.933,1223.62,330.07
2022-04-26T00:10:00,39.049,0.94,313.512,255.737
2022-04-26T00:15:00,40.928,0.996,737.489,409.42
2022-04-26T00:20:00,42.918,1.001,485.103,423.883
2022-04-26T00:25:00,45.541,1.001,138.13,455.735
2022-04-26T00:30:00,42.715,1.005,237.401,370.388
2022-04-26T00:35:00,48.538,0.962,588.467,462.995
2022-04-26T00:40:00,47.999,0.979,381.034,462.878
2022-04-26T00:45:00,46.064,0.998,1316.529,430.532
2022-04-26T00:50:00,51.82,1.001,485.197,576.178
2022-04-26T00:55:00,55.325,1.003,944.291,571.532
2022-04-26T01:00:00,57.241,0.976,5221.652,831.786
2022-04-26T01:05:00,51.456,0.963,532.451,603.757
2022-04-26T01:10:00,55.433,0.996,518.487,650.499
2022-04-26T01:15:00,49.609,0.993,273.23,466.361
2022-04-26T01:20:00,47.537,0.998,823.463,500.538
2022-04-26T01:25:00,43.396,0.947,737.263,366.228
2022-04-26T01:30:00,45.574,0.949,1136.822,339.35
2022-04-26T01:35:00,36.538,0.98,1696.866,260.076
2022-04-26T01:40:00,42.011,0.997,616.033,333.9
2022-04-26T01:45:00,50.254,0.969,1093.616,529.163
2022-04-26T01:50:00,55.355,1.003,685.945,713.557
2022-04-26T01:55:00,62.877,0.953,834.309,849.543
2022-04-26T02:00:00,60.812,0.99,1339.379,688.684
2022-04-26T02:05:00,62.219,0.949,302.546,812.526
2022-04-26T02:10:00,58.235,0.995,402.6,684.209
2022-04-26T02:15:00,57.213,1.007,494.044,562.188
2022-04-26T02:20:00,55.975,1.001,306.099,675.091
2022-04-26T02:25:00,62.092,0.994,269.526,790.333
2022-04-26T02:30:00,59.506,0.97,256.31,798.987
2022-04-26T02:35:00,54.335,0.912,5442.642,381.398
2022-04-26T02:40:00,62.25,0.988,591.277,721.94
2022-04-26T02:45:00,58.906,0.943,530.58,741.309
2022-04-26T02:50:00,60.786,1.0,1061.606,661.469
2022-04-26T02:55:00,59.598,0.995,540.074,689.141
2022-04-26T03:00:00,41.025,0.959,1780.627,221.817
2022-04-26T03:05:00,46.485,0.977,2544.065,325.732
2022-04-26T03:10:00,28.42,0.939,547.054,133.213
2022-04-26T03:15:00,32.159,0.964,1728.605,157.848
2022-04-26T03:20:00,38.496,0.982,313.888,210.208
2022-04-26T03:25:00,38.933,0.926,929.121,281.832
2022-04-26T03:30:00,52.556,1.003,2668.022,504.634
2022-04-26T03:35:00,55.313,0.97,1919.057,697.632
2022-04-26T03:40:00,54.632,0.961,1958.485,659.825
2022-04-26T03:45:00,52.026,0.97,537.181,467.447
2022-04-26T03:50:00,56.269,0.98,256.402,563.463
2022-04-26T03:55:00,57.237,1.004,230.628,561.991
2022-04-26T04:00:00,61.067,1.002,355.719,629.101
2022-04-26T04:05:00,60.31,0.951,345.856,702.769
2022-04-26T04:10:00,66.898,0.987,621.891,973.12
2022-04-26T04:15:00,67.369,0.995,577.353,910.496
2022-04-26T04:20:00,72.276,1.004,204.604,1021.983
2022-04-26T04:25:00,79.655,0.996,273.029,1220.679
2022-04-26T04:30:00,73.77,0.972,501.356,1081.345
2022-04-26T04:35:00,65.52,0.986,1131.682,939.664
2022-04-26T04:40:00,61.408,0.891,7847.975,1239.972
2022-04-26T04:45:00,63.035,1.004,3459.797,766.846
2022-04-26T04:50:00,63.813,0.945,2677.513,796.87
2022-04-26T04:55:00,62.346,0.881,2491.815,799.247
2022-04-26T05:00:00,51.168,0.957,3149.243,558.664
2022-04-26T05:05:00,56.794,0.969,1572.797,608.391
2022-04-26T05:10:00,60.58,0.989,1240.294,766.113
2022-04-26T05:15:00,61.938,0.991,1142.152,869.257
2022-04-26T05:20:00,62.813,0.972,1146.595,921.662
2022-04-26T05:25:00,52.882,1.001,657.623,484.191
2022-04-26T05:30:00,58.869,0.958,818.767,579.021
2022-04-26T05:35:00,44.255,0.834,1284.738,332.971
2022-04-26T05:40:00,52.287,1.004,984.719,550.16
2022-04-26T05:45:00,54.304,0.96,340.329,572.928
2022-04-26T05:50:00,74.07,0.957,2527.511,1057.094
2022-04-26T05:55:00,64.677,0.994,1100.375,663.713
2022-04-26T06:00:00,65.75,0.996,1276.081,774.587
2022-04-26T06:05:00,65.303,1.0,1696.842,857.147
2022-04-26T06:10:00,35.941,0.991,960.703,142.942
2022-04-26T06:15:00,29.853,0.979,1015.053,110.342
2022-04-26T06:20:00,52.802,0.967,1735.672,467.372
2022-04-26T06:25:00,21.034,0.945,838.522,33.726
2022-04-26T06:30:00,39.315,0.981,788.204,327.668
2022-04-26T06:35:00,29.699,0.965,1034.318,140.231
2022-04-26T06:40:00,34.834,0.944,1066.074,231.619
2022-04-26T06:45:00,47.012,0.929,1321.832,449.029
2022-04-26T06:50:00,46.044,0.969,2763.242,318.907
2022-04-26T06:55:00,47.776,0.91,1236.32,359.05
2022-04-26T07:00:00,42.911,1.004,1763.749,350.91
2022-04-26T07:05:00,49.986,0.984,2587.471,513.948
2022-04-26T07:10:00,58.868,1.0,775.456,884.407
2022-04-26T07:15:00,59.082,0.944,1617.334,715.695
2022-04-26T07:20:00,60.527,0.989,1337.671,805.272
2022-04-26T07:25:00,54.825,0.969,838.813,566.585
2022-04-26T07:30:00,45.238,0.759,1556.037,454.807
2022-04-26T07:35:00,49.135,0.991,1031.945,448.258
2022-04-26T07:40:00,45.736,0.987,1242.169,430.445
2022-04-26T07:45:00,38.489,0.829,2853.294,306.274
