id,height,face,torso,left_shin,left_shin2,right_shin,shoulder,left_arm,right_arm,var1,var2,var3,var4
2ec1b2,790.9924646,67.87187943,268.8260204,177.7794402,244.3866759,187.4395011,149.6906193,121.2334753,140.2290792,3,55,99,12
2ec216,791.2126056,67.87219885,268.6221547,177.7783549,245.058007,187.645988,149.8193508,121.0227402,140.3527585,3,55,95,12
2ec27a,791.399161,67.86688298,268.4150159,177.7767956,245.6567345,187.7859016,149.9470627,120.8111709,140.4064996,3,55,96,12
2ec2de,791.5594595,67.84169794,268.2797642,177.7087223,246.066862,187.7882897,150.1381199,120.5057505,140.3911595,3,60,95,12
2ec536,829.1168732,86.14365348,267.0264572,213.6305039,228.6122366,196.1612471,161.5591741,166.9208617,148.8724917,5,58,95,11
2ec59a,828.8631766,86.19352324,267.1034637,212.6704809,228.4966165,195.8376394,161.6258687,166.6868388,148.1565853,1,55,95,11
2ec5fe,828.315564,86.2405227,267.2443244,211.9123905,228.4350251,195.5192503,161.6318272,166.3042566,147.6572399,4,59,93,11
2ec662,827.8104639,86.28903074,267.5792824,211.2938129,228.3965744,195.3530642,161.6382545,166.0646542,147.0812901,4,57,96,11
2ec6c6,827.6469599,86.32808384,267.9175823,210.7450127,228.6486695,195.2513595,161.7180005,166.0640484,146.5921461,3,55,97,11
2ec91e,450.7805465,9.375650909,174.8737383,90.16540808,134.0356508,91.10033597,98.57455416,74.03565783,79.0670562,5,59,97,11
2ec982,451.4495997,9.603230745,175.0751374,90.22406501,133.667856,91.03420226,98.76860534,74.01777913,79.16333751,5,56,93,11
2ec9e6,451.9163558,9.826062745,175.2769587,90.27917466,133.2659552,90.90838294,98.8396773,74.00533735,79.19974369,5,58,94,11
2eca4a,452.0922911,9.721607985,175.4787356,90.26474116,133.0261974,90.6585415,98.78586956,73.99846091,79.30050796,1,58,98,11
2ecaae,452.0091048,9.727537929,175.6141572,90.31661797,132.9528802,90.40837635,98.60242925,73.9967796,79.44680907,2,56,95,11
2ecd06,1104.110271,105.6916981,403.6531527,254.497992,292.7433517,252.3852577,217.5078541,186.2689897,194.4376698,5,56,94,11
2ecd6a,1104.651543,105.4889846,404.4709516,254.5042893,292.7355224,252.170512,217.2564882,186.3834583,194.361839,4,59,94,11
2ecdce,1105.013344,105.223497,404.9487268,254.5125263,292.7283481,252.0265209,216.941874,186.4771658,194.2932574,3,55,96,11
2ece32,1105.124866,104.9005175,405.0783923,254.5205217,292.7195986,252.0211519,216.4954567,186.4864033,194.1863136,1,56,97,11
2ece96,1104.963446,104.5450599,404.9237433,254.5939163,292.8566921,252.1439198,216.0584056,186.4288027,193.9917821,5,55,98,11
2ed0ee,698.2634828,16.14776795,174.8282137,207.2754322,235.797912,168.230585,140.5278042,114.5328862,113.2300368,4,56,98,12
2ed152,697.5640606,17.00087692,174.9763364,206.8591652,236.5809504,167.3315731,140.9500735,115.0107421,113.390775,2,59,98,12
2ed1b6,696.8590973,18.16560317,174.9972136,206.4368263,237.5639914,166.2985195,141.3759461,115.7335982,113.5193529,1,57,98,12
2ed21a,696.5710469,18.67037809,174.8218669,206.0100044,238.2600995,165.203228,141.9390952,116.6470546,113.7391249,2,56,99,12
2ed27e,696.7319493,18.516077,174.3745512,205.7076949,238.8014349,164.0426545,142.709933,117.483793,113.9333263,4,55,96,12
2ed4d6,772.5370945,22.16546053,273.7874439,184.4946274,239.9796204,192.4666235,148.798212,134.3217891,146.3904931,3,57,97,12
2ed53a,772.9245111,22.16546053,273.7210075,184.2998963,239.2325472,192.5455394,148.7947264,134.585362,146.326551,3,55,95,12
2ed59e,773.0062309,22.16546053,273.6489073,184.0392305,239.5345544,192.5608827,148.729626,134.9150143,146.2047202,3,59,93,12
2ed602,773.0386751,22.16546053,273.5070459,183.9110582,240.3148529,192.5746506,148.666439,135.1779806,146.0359852,5,59,94,12
2ed666,773.0756553,22.16546053,273.4318662,183.7150855,241.3332599,192.5842628,148.5407858,135.3753928,145.9460924,5,58,95,12
2ed8be,893.1884819,86.2932018,327.4180348,183.4805282,257.4838831,187.5270575,197.0685392,162.6865578,169.917489,2,55,96,12
2ed922,893.6400118,86.26102048,327.0124576,183.1486449,257.4804882,187.6207674,197.0719135,162.769473,169.9628397,2,55,93,12
2ed986,893.7936342,86.26447065,326.6756148,182.6810657,257.4772226,187.5765013,197.0753657,162.7240808,169.8820633,5,58,95,12
2ed9ea,893.8566651,86.20243678,326.3404205,182.2101192,257.4729999,187.3271968,197.1442,162.6141238,169.8371166,5,59,94,12
2eda4e,893.9376007,86.12406952,325.9998236,181.8716612,257.6116271,186.9388347,197.2144644,162.5261562,169.8317621,1,58,98,12
2edca6,894.6876816,88.06045113,298.6089476,177.8875303,305.1802875,180.5407929,201.0686591,138.0393404,161.3159162,2,56,97,12
2edd0a,895.1714279,88.21297728,299.0930021,177.5758384,305.3305273,180.5854081,201.2469478,138.2617259,161.3797055,5,60,96,12
2edd6e,895.6409056,88.35628828,299.50945,177.119513,305.5268224,180.7612513,201.430603,138.4170921,161.307726,1,60,99,12
2eddd2,896.2655217,88.49941998,299.9237003,176.8527955,305.8904735,180.9473495,201.6141573,138.6393662,161.2340768,3,57,99,12
2ede36,896.8694784,88.62473593,300.3330812,176.7176268,306.0036906,181.0782927,201.7339623,138.8562225,161.1618546,2,60,96,12
2ee08e,807.1869967,86.1722656,289.7384552,201.162917,281.784711,180.3846886,156.8417615,136.526318,147.3142574,5,55,93,11
2ee0f2,807.2855256,86.19698771,289.0017076,201.0972989,281.785051,180.0472256,156.7486046,136.7685092,147.590605,3,58,93,11
2ee156,807.6951534,86.19957718,288.0624911,200.6686713,281.7855491,179.7083655,156.8551061,136.9830497,147.8143102,5,57,93,12
2ee1ba,808.584591,86.16359815,286.7733058,200.3537404,281.6007875,179.7850629,157.1719721,137.2995284,147.9493942,4,58,95,12
2ee21e,810.295709,86.16720918,285.0676949,200.2109003,281.3236335,180.1368229,157.8352898,137.8198951,148.1995198,4,59,97,12
2ee476,849.2878045,65.52184089,293.163006,197.9147907,246.458552,194.7401966,157.9138112,150.932855,138.9579863,3,55,94,11
2ee4da,849.3085738,65.60746882,293.4278298,198.1187917,246.4499513,194.7479615,158.0438755,151.1421902,138.9895129,3,60,93,11
2ee53e,849.2530405,65.65695082,293.5535064,198.2555668,246.6557685,194.75643,158.1074359,151.3514959,139.2013157,3,59,98,11
2ee5a2,849.1270372,65.6755227,293.5447382,198.2592853,246.9518722,194.6973674,158.1067589,151.6828071,139.5044839,4,60,96,11
2ee606,849.1557145,65.68870625,293.4727431,198.1264297,247.2938083,194.5706757,158.110687,151.9283379,139.7177317,5,60,98,11
2ee85e,469.3853238,39.31329738,142.6204682,100.3710688,129.3412586,102.0382108,102.0443033,85.5161743,84.08980146,2,57,97,11
