timestamp,heart_rate
2022-03-29 09:29:00,117
2022-03-29 09:30:00,123
2022-03-29 09:31:00,110
2022-03-29 09:32:00,97
2022-03-29 09:33:00,92
2022-03-29 09:34:00,87
2022-03-29 09:35:00,92
2022-03-29 09:36:00,102
2022-03-29 09:37:00,112
2022-03-29 09:38:00,114
2022-03-29 09:39:00,116
2022-03-29 09:40:00,118
2022-03-29 09:41:00,117
2022-03-29 09:42:00,120
2022-03-29 09:44:00,141
2022-03-29 09:45:00,149
2022-03-29 09:46:00,146
2022-03-29 09:48:00,147
2022-03-29 09:49:00,148
2022-03-29 09:50:00,143
2022-03-29 09:51:40,144
2022-03-29 09:51:00,147
2022-03-29 09:52:00,142
2022-03-29 09:53:00,145
2022-03-29 09:55:00,139
2022-03-29 09:56:00,132
2022-03-29 09:57:00,135
2022-03-29 09:58:00,137
2022-03-29 09:59:00,131
2022-03-29 10:00:00,123
2022-03-29 10:01:00,110
2022-03-29 10:02:00,95
2022-03-29 10:04:00,93
2022-03-29 10:05:00,95
2022-03-29 10:06:00,97
2022-03-29 10:07:00,88
2022-03-29 10:08:00,90
2022-03-29 10:09:00,102
2022-03-29 10:10:00,93
2022-03-29 10:11:00,89
2022-03-29 10:12:00,95
2022-03-29 10:13:00,94
2022-03-29 10:14:00,83
2022-03-29 10:15:00,82
2022-03-29 10:17:00,83
2022-03-29 10:18:00,80
2022-03-29 10:20:00,82
2022-03-29 10:22:00,80
2022-03-29 10:23:00,107
2022-03-29 10:24:00,114
2022-03-29 10:25:00,90
2022-03-29 10:26:00,88
2022-03-29 10:27:00,98
2022-03-29 10:28:00,95
2022-03-29 10:29:00,85
2022-03-29 10:30:00,88
2022-03-29 10:31:00,84
2022-03-29 10:32:00,83
2022-03-29 10:35:00,82
2022-03-29 10:37:00,92
2022-03-29 10:38:00,95
2022-03-29 10:39:00,93
2022-03-29 10:40:00,90
2022-03-29 10:41:00,88
2022-03-29 10:43:00,89
2022-03-29 10:46:00,94
2022-03-29 10:47:00,99
2022-03-29 10:48:00,91
2022-03-29 10:49:00,88
2022-03-29 10:50:00,84
2022-03-29 10:51:00,87
2022-03-29 10:52:00,93
2022-03-29 10:53:00,83
2022-03-29 10:54:00,81
2022-03-29 10:55:00,84
2022-03-29 10:56:00,82
2022-03-29 10:57:00,95
2022-03-29 10:58:00,107
2022-03-29 10:59:00,97
2022-03-29 11:01:00,85
2022-03-29 11:02:00,80
2022-03-29 11:03:00,81
2022-03-29 11:04:00,86
2022-03-29 11:05:00,96
2022-03-29 11:06:00,106
2022-03-29 11:08:00,98
2022-03-29 11:09:00,112
2022-03-29 11:10:00,94
2022-03-29 11:11:00,92
2022-03-29 11:12:00,84
2022-03-29 11:13:00,81
2022-03-29 11:14:00,79
2022-03-29 11:15:00,78
2022-03-29 11:16:00,77
2022-03-29 11:17:00,91
2022-03-29 11:19:00,106
2022-03-29 11:21:00,97
2022-03-29 11:22:00,86
2022-03-29 11:23:00,81
2022-03-29 11:24:00,79
2022-03-29 11:25:00,76
2022-03-29 11:26:00,78
2022-03-29 11:27:00,77
2022-03-29 11:28:00,78
2022-03-29 11:29:00,76
2022-03-29 11:31:00,81
2022-03-29 11:32:00,96
2022-03-29 11:33:00,99
2022-03-29 11:34:00,90
2022-03-29 11:35:00,92
2022-03-29 11:36:00,93
2022-03-29 11:37:00,88
2022-03-29 11:38:00,81
2022-03-29 11:39:00,76
2022-03-29 11:41:00,75
2022-03-29 11:42:00,78
2022-03-29 11:43:00,77
2022-03-29 11:44:00,85
2022-03-29 11:45:00,84
2022-03-29 11:46:00,81
2022-03-29 11:47:00,90
2022-03-29 11:48:00,87
2022-03-29 11:49:00,93
2022-03-29 11:51:00,97
2022-03-29 11:52:00,111
2022-03-29 11:53:00,131
2022-03-29 11:54:00,111
2022-03-29 11:55:00,101
2022-03-29 11:56:00,84
2022-03-29 11:58:00,77
2022-03-29 11:59:00,80
2022-03-29 12:00:00,86
2022-03-29 12:01:00,92
2022-03-29 12:02:00,84
2022-03-29 12:03:00,90
2022-03-29 12:05:00,84
2022-03-29 12:06:00,95
2022-03-29 12:07:00,84
2022-03-29 12:08:00,87
2022-03-29 12:09:00,90
2022-03-29 12:11:00,84
2022-03-29 12:13:00,81
2022-03-29 09:28:00,116
2022-03-29 00:03:00,55
2022-03-29 00:04:00,56
2022-03-29 00:05:00,55
2022-03-29 00:06:00,54
2022-03-29 00:11:00,53
2022-03-29 00:12:00,54
2022-03-29 00:13:00,53
2022-03-29 00:14:00,52
2022-03-29 00:16:00,51
2022-03-29 00:17:00,52
2022-03-29 00:18:00,50
2022-03-29 00:19:00,51
2022-03-29 00:21:00,56
2022-03-29 00:22:00,51
2022-03-29 00:24:00,50
2022-03-29 00:25:00,51
2022-03-29 00:29:00,50
2022-03-29 00:30:00,49
2022-03-29 00:31:00,50
2022-03-29 00:35:00,52
2022-03-29 00:36:00,50
2022-03-29 00:38:00,49
2022-03-29 00:40:00,50
2022-03-29 00:42:00,49
2022-03-29 00:43:00,50
2022-03-29 00:45:00,51
2022-03-29 00:47:00,53
2022-03-29 00:49:00,51
2022-03-29 00:50:00,52
2022-03-29 00:51:00,51
2022-03-29 00:52:00,50
2022-03-29 00:53:00,49
2022-03-29 00:54:00,51
2022-03-29 00:55:00,49
2022-03-29 00:56:00,50
2022-03-29 00:57:00,55
2022-03-29 00:58:00,53
2022-03-29 00:59:00,51
2022-03-29 01:00:00,53
2022-03-29 01:01:00,51
2022-03-29 01:02:00,54
2022-03-29 01:03:00,53
2022-03-29 01:05:00,52
2022-03-29 01:08:00,50
2022-03-29 01:09:00,52
2022-03-29 01:10:00,50
2022-03-29 01:11:00,51
2022-03-29 01:12:00,50
2022-03-29 01:15:00,49
2022-03-29 01:25:00,48
2022-03-29 01:27:00,49
2022-03-29 01:30:00,48
2022-03-29 01:32:00,49
2022-03-29 01:34:00,48
2022-03-29 01:36:00,49
2022-03-29 01:38:00,48
2022-03-29 01:39:00,49
2022-03-29 01:40:00,55
2022-03-29 01:41:00,49
2022-03-29 01:44:00,47
2022-03-29 01:50:00,48
2022-03-29 01:51:00,50
2022-03-29 01:52:00,47
2022-03-29 01:53:00,46
2022-03-29 01:55:00,47
2022-03-29 01:57:00,54
2022-03-29 01:58:00,53
2022-03-29 01:59:00,47
2022-03-29 02:03:00,46
2022-03-29 02:04:00,47
2022-03-29 02:07:00,46
2022-03-29 02:08:00,47
2022-03-29 02:10:00,48
2022-03-29 02:11:00,46
2022-03-29 02:12:00,47
2022-03-29 02:17:00,48
2022-03-29 02:19:00,47
2022-03-29 02:22:00,48
2022-03-29 02:23:00,47
2022-03-29 02:26:00,48
2022-03-29 02:31:00,47
2022-03-29 02:32:00,51
2022-03-29 02:33:00,46
2022-03-29 02:34:00,48
2022-03-29 02:35:00,46
2022-03-29 02:37:00,49
2022-03-29 02:38:00,47
2022-03-29 02:39:00,46
2022-03-29 02:40:00,50
2022-03-29 02:41:00,48
2022-03-29 02:42:00,49
2022-03-29 02:43:00,53
2022-03-29 02:44:00,55
2022-03-29 02:46:00,52
2022-03-29 02:47:00,60
2022-03-29 02:48:00,62
2022-03-29 02:49:00,57
2022-03-29 02:50:00,58
2022-03-29 02:51:00,56
2022-03-29 02:52:00,55
2022-03-29 02:53:00,51
2022-03-29 02:54:00,53
2022-03-29 02:55:00,55
2022-03-29 02:56:00,53
2022-03-29 02:57:00,58
2022-03-29 02:58:00,57
2022-03-29 02:59:00,53
2022-03-29 03:01:00,52
2022-03-29 03:02:00,54
2022-03-29 03:03:00,51
2022-03-29 03:04:00,55
2022-03-29 03:05:00,50
2022-03-29 03:06:00,51
2022-03-29 03:07:00,52
2022-03-29 03:08:00,47
2022-03-29 03:09:00,49
2022-03-29 03:10:00,51
2022-03-29 03:11:00,49
2022-03-29 03:13:00,52
2022-03-29 03:14:00,49
2022-03-29 03:15:00,51
2022-03-29 03:16:00,54
2022-03-29 03:17:00,52
2022-03-29 03:19:00,51
2022-03-29 03:21:00,50
2022-03-29 03:22:00,49
2022-03-29 03:25:00,48
2022-03-29 03:27:00,49
2022-03-29 03:29:00,48
2022-03-29 03:31:00,49
2022-03-29 03:32:00,48
2022-03-29 03:33:00,49
2022-03-29 03:34:00,48
2022-03-29 03:36:00,49
2022-03-29 03:38:00,48
2022-03-29 03:43:00,49
2022-03-29 03:44:00,48
2022-03-29 03:45:00,49
2022-03-29 03:46:00,47
2022-03-29 03:48:00,48
2022-03-29 03:50:00,47
2022-03-29 03:51:00,49
2022-03-29 03:52:00,48
2022-03-29 04:00:00,50
2022-03-29 04:01:00,51
2022-03-29 04:02:00,48
2022-03-29 04:03:00,47
2022-03-29 04:06:00,48
2022-03-29 04:07:00,47
2022-03-29 04:12:00,48
2022-03-29 04:14:00,47
2022-03-29 04:15:00,48
2022-03-29 04:16:00,46
2022-03-29 04:17:00,47
2022-03-29 04:19:00,48
2022-03-29 04:20:00,47
2022-03-29 04:21:00,46
2022-03-29 04:22:00,48
2022-03-29 04:23:00,47
2022-03-29 04:25:00,48
2022-03-29 04:26:00,47
2022-03-29 04:27:00,46
2022-03-29 04:28:00,48
2022-03-29 04:30:00,50
2022-03-29 04:32:00,49
2022-03-29 04:33:00,48
2022-03-29 04:35:00,49
2022-03-29 04:36:00,48
2022-03-29 04:37:00,47
2022-03-29 04:38:00,50
2022-03-29 04:39:00,47
2022-03-29 04:40:00,50
2022-03-29 04:42:00,54
2022-03-29 04:43:00,50
2022-03-29 04:44:00,51
2022-03-29 04:45:00,50
2022-03-29 04:47:00,55
2022-03-29 04:48:00,49
2022-03-29 04:49:00,50
2022-03-29 04:50:00,53
2022-03-29 04:52:00,50
2022-03-29 04:53:00,51
2022-03-29 04:54:00,53
2022-03-29 04:55:00,50
2022-03-29 04:57:00,49
2022-03-29 04:59:00,50
2022-03-29 05:00:00,49
2022-03-29 05:01:00,46
2022-03-29 05:02:00,48
2022-03-29 05:03:00,49
2022-03-29 05:05:00,48
2022-03-29 05:06:00,52
2022-03-29 05:07:00,49
2022-03-29 05:10:00,50
2022-03-29 05:12:00,54
2022-03-29 05:13:00,53
2022-03-29 05:14:00,51
2022-03-29 05:15:00,52
2022-03-29 05:16:00,50
2022-03-29 05:17:00,51
2022-03-29 05:18:00,50
2022-03-29 05:19:00,51
2022-03-29 05:20:00,49
2022-03-29 05:21:00,50
2022-03-29 05:23:00,49
2022-03-29 05:24:00,50
2022-03-29 05:31:00,49
2022-03-29 05:34:00,48
2022-03-29 05:35:00,49
2022-03-29 05:38:00,50
2022-03-29 05:44:00,49
2022-03-29 05:45:00,50
2022-03-29 05:48:00,49
2022-03-29 05:49:00,50
2022-03-29 05:52:00,49
2022-03-29 05:53:00,50
2022-03-29 05:59:00,51
2022-03-29 06:00:00,50
2022-03-29 06:03:00,51
2022-03-29 06:04:00,50
2022-03-29 06:05:00,51
2022-03-29 06:06:00,55
2022-03-29 06:07:00,54
2022-03-29 06:08:00,51
2022-03-29 06:10:00,50
2022-03-29 06:11:00,47
2022-03-29 06:13:00,50
2022-03-29 06:14:00,55
2022-03-29 06:15:00,51
2022-03-29 06:16:00,53
2022-03-29 06:18:00,51
2022-03-29 06:19:00,48
2022-03-29 06:20:00,53
2022-03-29 06:21:00,51
2022-03-29 06:22:00,50
2022-03-29 06:23:00,53
2022-03-29 06:24:00,50
2022-03-29 06:25:00,55
2022-03-29 06:27:00,58
2022-03-29 06:28:00,54
2022-03-29 06:29:00,52
2022-03-29 06:30:00,51
2022-03-29 06:31:00,52
2022-03-29 06:32:00,53
2022-03-29 06:33:00,52
2022-03-29 06:35:00,49
2022-03-29 06:37:00,50
2022-03-29 06:38:00,52
2022-03-29 06:39:00,51
