id,name,description,avatar_url,cover_image_url,type,members
18d1e710-6ad0-11e6-80ae-5f6738d79739,Daily Activity,,,,Open group,
cd02e670-55f4-11e7-abcc-ef0a30a3a9d1,Heart Health,,,,Open group,
2567f2d0-6ad0-11e6-80ae-5f6738d79739,Mind & Body,,,,Open group,
ca6cf960-6ad0-11e6-80ae-5f6738d79739,Running,,,,Open group,
