timestamp,Infrared to Red Signal Ratio
04/19/22 02:28:31,-30
04/19/22 02:29:31,2
04/19/22 02:30:32,-62
04/19/22 02:31:32,-4
04/19/22 02:32:32,-52
04/19/22 02:33:32,0
04/19/22 02:34:33,-24
04/19/22 02:35:33,0
04/19/22 02:36:33,-57
04/19/22 02:37:33,-25
04/19/22 02:38:33,-31
04/19/22 02:39:33,4
04/19/22 02:40:33,-17
04/19/22 02:41:34,24
04/19/22 02:42:34,-1
04/19/22 02:43:34,0
04/19/22 02:44:34,-4
04/19/22 02:45:34,4
04/19/22 02:46:34,-4
04/19/22 02:47:35,52
04/19/22 02:48:35,0
04/19/22 02:49:35,-14
04/19/22 02:50:35,-46
04/19/22 02:51:35,-24
04/19/22 02:52:35,-5
04/19/22 02:53:35,-25
04/19/22 02:54:36,0
04/19/22 02:55:36,6
04/19/22 02:56:36,9
04/19/22 02:57:36,0
04/19/22 02:58:36,0
04/19/22 02:59:36,0
04/19/22 03:00:36,1
04/19/22 03:01:37,0
04/19/22 03:02:37,0
04/19/22 03:03:37,2
04/19/22 03:04:37,22
04/19/22 03:05:37,-20
04/19/22 03:06:37,-9
04/19/22 03:07:38,-4
04/19/22 03:08:38,0
04/19/22 03:09:38,-7
04/19/22 03:10:38,-8
04/19/22 03:11:38,-10
04/19/22 03:12:38,-49
04/19/22 03:13:38,17
04/19/22 03:14:39,-34
04/19/22 03:15:40,-45
04/19/22 03:16:40,-65
04/19/22 03:17:40,-82
04/19/22 03:18:40,0
04/19/22 03:19:40,1
04/19/22 03:20:40,-33
04/19/22 03:21:40,-31
04/19/22 03:22:41,-3
04/19/22 03:23:41,-1
04/19/22 03:24:41,65
04/19/22 03:25:41,0
04/19/22 03:26:41,-4
04/19/22 03:27:41,-39
04/19/22 03:28:41,-14
04/19/22 03:29:42,-1
04/19/22 03:30:45,-24
04/19/22 03:31:45,0
04/19/22 03:32:45,-30
04/19/22 03:33:46,-3
04/19/22 03:34:46,-13
04/19/22 03:35:46,-4
04/19/22 03:36:46,13
04/19/22 03:37:46,8
04/19/22 03:38:46,13
04/19/22 03:39:47,-2
04/19/22 03:40:47,-27
04/19/22 03:41:47,-1
04/19/22 03:42:47,-2
04/19/22 03:43:47,-12
04/19/22 03:44:47,-2
04/19/22 03:45:47,-3
04/19/22 03:46:48,-5
04/19/22 03:47:48,-9
04/19/22 03:48:48,2
04/19/22 03:49:48,4
04/19/22 03:50:48,2
04/19/22 03:51:48,-1
04/19/22 03:52:48,-9
04/19/22 03:53:49,13
04/19/22 03:54:49,-21
04/19/22 03:55:49,8
04/19/22 03:56:49,-6
04/19/22 03:57:49,-2
04/19/22 03:58:49,0
04/19/22 03:59:49,-1
04/19/22 04:00:50,-9
04/19/22 04:01:50,-4
04/19/22 04:02:50,-21
04/19/22 04:03:50,-24
04/19/22 04:04:50,0
04/19/22 04:05:51,0
04/19/22 04:06:52,-52
04/19/22 04:07:52,-32
04/19/22 04:08:52,0
04/19/22 04:09:52,-28
04/19/22 04:10:52,-8
04/19/22 04:11:52,0
04/19/22 04:12:53,-1
04/19/22 04:13:53,-28
04/19/22 04:14:53,-9
04/19/22 04:15:53,1
04/19/22 04:16:53,22
04/19/22 04:17:53,-21
04/19/22 04:18:53,-5
04/19/22 04:19:54,8
04/19/22 04:20:56,-2
04/19/22 04:21:56,-7
04/19/22 04:22:56,-17
04/19/22 04:23:56,-2
04/19/22 04:24:57,0
04/19/22 04:25:57,0
04/19/22 04:26:57,30
04/19/22 04:27:57,23
04/19/22 04:28:57,15
04/19/22 04:29:57,0
04/19/22 04:30:57,8
04/19/22 04:31:58,0
04/19/22 04:32:58,-4
04/19/22 04:33:58,-8
04/19/22 04:34:58,-16
04/19/22 04:36:00,-60
04/19/22 04:37:00,8
04/19/22 04:38:00,0
04/19/22 04:39:01,-13
04/19/22 04:40:01,-21
04/19/22 04:41:01,-70
04/19/22 04:42:01,0
04/19/22 04:43:01,8
04/19/22 04:44:01,-37
04/19/22 04:45:01,-2
04/19/22 04:46:02,-26
04/19/22 04:47:02,-14
04/19/22 04:48:02,-47
04/19/22 04:49:02,-7
04/19/22 04:50:02,-11
04/19/22 04:51:03,0
04/19/22 04:52:03,-32
04/19/22 04:53:03,0
04/19/22 04:54:03,-19
04/19/22 04:55:03,-37
04/19/22 04:56:04,8
04/19/22 04:57:04,-3
04/19/22 04:58:04,13
04/19/22 04:59:04,-16
04/19/22 05:00:04,0
04/19/22 05:01:04,0
04/19/22 05:02:04,4
04/19/22 05:03:05,-24
04/19/22 05:04:05,-47
04/19/22 05:05:05,-34
04/19/22 05:06:06,19
04/19/22 05:07:07,-2
04/19/22 05:08:07,8
04/19/22 05:09:07,-3
04/19/22 05:10:07,-34
04/19/22 05:11:07,-44
04/19/22 05:12:07,-18
04/19/22 05:13:08,-39
04/19/22 05:14:08,-43
04/19/22 05:15:08,14
04/19/22 05:16:08,0
04/19/22 05:17:08,0
04/19/22 05:18:08,17
04/19/22 05:19:08,43
04/19/22 05:20:09,30
04/19/22 05:21:10,-6
04/19/22 05:22:10,0
04/19/22 05:23:10,-51
04/19/22 05:24:10,-27
04/19/22 05:25:10,-44
04/19/22 05:26:11,-32
04/19/22 05:27:11,-55
04/19/22 05:28:11,-41
04/19/22 05:29:11,-9
04/19/22 05:30:11,-3
04/19/22 05:31:11,-66
04/19/22 05:32:11,-61
04/19/22 05:33:12,-51
04/19/22 05:34:12,-61
04/19/22 05:35:12,-65
04/19/22 05:36:12,-78
04/19/22 05:37:12,-66
04/19/22 05:38:12,-16
04/19/22 05:39:13,0
04/19/22 05:40:13,-27
04/19/22 05:41:13,7
04/19/22 05:42:14,-58
04/19/22 05:43:15,-32
04/19/22 05:44:15,-5
04/19/22 05:45:15,-1
04/19/22 05:46:15,41
04/19/22 05:47:15,6
04/19/22 05:48:15,0
04/19/22 05:49:15,-19
04/19/22 05:50:16,0
04/19/22 05:51:16,-36
04/19/22 05:52:16,-2
04/19/22 05:53:16,2
04/19/22 05:54:16,0
04/19/22 05:55:16,0
04/19/22 05:56:16,6
04/19/22 05:57:17,-15
04/19/22 05:58:17,30
04/19/22 05:59:17,-10
04/19/22 06:00:17,15
04/19/22 06:01:17,-41
04/19/22 06:02:17,-1
04/19/22 06:03:18,0
04/19/22 06:04:18,0
04/19/22 06:05:18,30
04/19/22 06:06:18,-10
04/19/22 06:07:18,7
04/19/22 06:08:18,-18
04/19/22 06:09:18,11
04/19/22 06:10:19,1
04/19/22 06:11:19,1
04/19/22 06:12:19,0
04/19/22 06:13:19,-44
04/19/22 06:14:20,24
04/19/22 06:15:20,23
04/19/22 06:16:20,-13
04/19/22 06:17:20,0
04/19/22 06:18:20,-11
04/19/22 06:19:20,-3
04/19/22 06:20:20,2
04/19/22 06:21:21,59
04/19/22 06:22:21,4
04/19/22 06:23:21,0
04/19/22 06:24:21,-12
04/19/22 06:25:21,-10
04/19/22 06:26:21,17
04/19/22 06:27:23,-4
