timestamp,Infrared to Red Signal Ratio
04/27/22 00:42:31,-12
04/27/22 00:43:31,-10
04/27/22 00:44:31,-31
04/27/22 00:45:31,-1
04/27/22 00:46:31,-1
04/27/22 00:47:31,6
04/27/22 00:48:32,39
04/27/22 00:49:32,1
04/27/22 00:50:32,0
04/27/22 00:51:32,-3
04/27/22 00:52:32,21
04/27/22 00:53:32,0
04/27/22 00:54:32,-3
04/27/22 00:55:33,13
04/27/22 00:56:33,11
04/27/22 00:57:33,3
04/27/22 00:59:29,-38
04/27/22 01:00:29,0
04/27/22 01:01:30,15
04/27/22 01:02:30,0
04/27/22 01:03:30,44
04/27/22 01:04:30,2
04/27/22 01:05:30,0
04/27/22 01:06:33,-4
04/27/22 01:07:33,2
04/27/22 01:08:33,-13
04/27/22 01:09:34,-1
04/27/22 01:10:34,13
04/27/22 01:11:34,-2
04/27/22 01:12:34,3
04/27/22 01:13:34,8
04/27/22 01:14:34,-4
04/27/22 01:15:34,-7
04/27/22 01:16:35,-4
04/27/22 01:17:35,0
04/27/22 01:18:35,60
04/27/22 01:19:35,0
04/27/22 01:20:35,-11
04/27/22 01:21:38,-75
04/27/22 01:22:38,-21
04/27/22 01:23:38,4
04/27/22 01:24:38,-64
04/27/22 01:25:38,6
04/27/22 01:26:39,61
04/27/22 01:27:39,-32
04/27/22 01:28:39,-2
04/27/22 01:29:39,2
04/27/22 01:30:39,-75
04/27/22 01:31:39,-3
04/27/22 01:32:39,19
04/27/22 01:33:40,-50
04/27/22 01:34:40,-53
04/27/22 01:35:40,1
04/27/22 01:36:41,-62
04/27/22 01:37:41,-47
04/27/22 01:38:41,-58
04/27/22 01:39:42,-21
04/27/22 01:40:42,8
04/27/22 01:41:42,29
04/27/22 01:42:42,-56
04/27/22 01:43:42,-69
04/27/22 01:44:42,-7
04/27/22 01:45:43,-41
04/27/22 01:46:43,-4
04/27/22 01:47:43,6
04/27/22 01:48:43,0
04/27/22 01:49:43,-4
04/27/22 01:50:43,-10
04/27/22 01:51:45,42
04/27/22 01:52:45,-2
04/27/22 01:53:45,18
04/27/22 01:54:45,36
04/27/22 01:55:45,13
04/27/22 01:56:45,-1
04/27/22 01:57:45,-10
04/27/22 01:58:46,-4
04/27/22 01:59:46,-34
04/27/22 02:00:46,12
04/27/22 02:01:46,-20
04/27/22 02:02:46,-16
04/27/22 02:03:46,-27
04/27/22 02:04:47,30
04/27/22 02:05:47,13
04/27/22 02:06:49,32
04/27/22 02:07:49,-2
04/27/22 02:08:49,-54
04/27/22 02:09:49,-1
04/27/22 02:10:49,-13
04/27/22 02:11:49,29
04/27/22 02:12:49,-7
04/27/22 02:13:50,-2
04/27/22 02:14:50,-21
04/27/22 02:15:50,0
04/27/22 02:16:50,0
04/27/22 02:17:50,7
04/27/22 02:18:50,9
04/27/22 02:19:50,43
04/27/22 02:20:51,-3
04/27/22 02:21:52,-4
04/27/22 02:22:53,6
04/27/22 02:23:53,0
04/27/22 02:24:53,8
04/27/22 02:25:53,-36
04/27/22 02:26:53,5
04/27/22 02:27:53,6
04/27/22 02:28:54,-4
04/27/22 02:29:54,-10
04/27/22 02:30:54,0
04/27/22 02:31:54,-21
04/27/22 02:32:54,-4
04/27/22 02:33:54,-4
04/27/22 02:34:54,-35
04/27/22 02:35:55,7
04/27/22 02:36:57,0
04/27/22 02:37:58,0
04/27/22 02:38:58,-26
04/27/22 02:39:58,-27
04/27/22 02:40:58,-7
04/27/22 02:41:58,0
04/27/22 02:42:58,-26
04/27/22 02:43:58,-3
04/27/22 02:44:59,-2
04/27/22 02:45:59,-57
04/27/22 02:46:59,-3
04/27/22 02:47:59,1
04/27/22 02:48:59,0
04/27/22 02:49:59,1
04/27/22 02:51:00,18
04/27/22 02:52:02,2
04/27/22 02:53:02,8
04/27/22 02:54:02,43
04/27/22 02:55:03,4
04/27/22 02:56:03,-8
04/27/22 02:57:03,4
04/27/22 02:58:03,7
04/27/22 02:59:03,5
04/27/22 03:00:03,0
04/27/22 03:01:03,-1
04/27/22 03:02:04,4
04/27/22 03:03:04,22
04/27/22 03:04:04,0
04/27/22 03:05:04,2
04/27/22 03:06:04,-4
04/27/22 03:07:07,3
04/27/22 03:08:07,20
04/27/22 03:09:07,0
04/27/22 03:10:07,17
04/27/22 03:11:07,0
04/27/22 03:12:07,8
04/27/22 03:13:07,22
04/27/22 03:14:08,0
04/27/22 03:15:08,22
04/27/22 03:16:08,2
04/27/22 03:17:08,-47
04/27/22 03:18:08,-8
04/27/22 03:19:08,-5
04/27/22 03:20:09,13
04/27/22 03:21:09,46
04/27/22 03:22:11,-1
04/27/22 03:23:12,-3
04/27/22 03:24:12,-5
04/27/22 03:25:12,-5
04/27/22 03:26:12,-8
04/27/22 03:27:12,30
04/27/22 03:28:12,-7
04/27/22 03:29:12,-12
04/27/22 03:30:13,-21
04/27/22 03:31:13,-9
04/27/22 03:32:13,-10
04/27/22 03:33:13,7
04/27/22 03:34:13,-12
04/27/22 03:35:13,32
04/27/22 03:36:15,-42
04/27/22 03:37:15,2
04/27/22 03:38:15,-3
04/27/22 03:39:15,13
04/27/22 03:40:15,-23
04/27/22 03:41:16,0
04/27/22 03:42:16,14
04/27/22 03:43:16,-7
04/27/22 03:44:16,2
04/27/22 03:45:16,-9
04/27/22 03:46:16,-4
04/27/22 03:47:16,25
04/27/22 03:48:17,8
04/27/22 03:49:17,-39
04/27/22 03:50:17,3
04/27/22 03:51:19,11
04/27/22 03:52:19,0
04/27/22 03:53:19,-30
04/27/22 03:54:19,7
04/27/22 03:55:19,11
04/27/22 03:56:19,20
04/27/22 03:57:20,30
04/27/22 03:58:20,0
04/27/22 03:59:20,12
