timestamp,Infrared to Red Signal Ratio
05/31/22 00:11:02,0
05/31/22 00:12:02,0
05/31/22 00:13:02,-14
05/31/22 00:14:02,0
05/31/22 00:15:02,-2
05/31/22 00:16:02,-1
05/31/22 00:17:02,-5
05/31/22 00:18:03,0
05/31/22 00:19:03,12
05/31/22 00:20:03,1
05/31/22 00:21:06,-13
05/31/22 00:22:06,0
05/31/22 00:23:06,-4
05/31/22 00:24:06,-13
05/31/22 00:25:06,-7
05/31/22 00:26:07,0
05/31/22 00:27:07,0
05/31/22 00:28:07,-68
05/31/22 00:29:07,4
05/31/22 00:30:07,0
05/31/22 00:31:07,-34
05/31/22 00:32:07,17
05/31/22 00:33:08,-4
05/31/22 00:34:08,0
05/31/22 00:35:08,-13
05/31/22 00:36:10,15
05/31/22 00:37:11,2
05/31/22 00:38:11,0
05/31/22 00:39:11,15
05/31/22 00:40:11,4
05/31/22 00:52:31,-24
05/31/22 00:53:31,3
05/31/22 00:54:32,0
05/31/22 00:55:32,0
05/31/22 00:56:32,0
05/31/22 00:57:32,-1
05/31/22 00:58:32,0
05/31/22 00:59:32,13
05/31/22 01:00:32,-2
05/31/22 01:01:33,0
05/31/22 01:02:33,6
05/31/22 01:03:33,0
05/31/22 01:04:33,-8
05/31/22 01:05:33,0
05/31/22 01:06:37,-30
05/31/22 01:07:37,-6
05/31/22 01:08:37,-2
05/31/22 01:09:37,12
05/31/22 01:10:37,-21
05/31/22 01:11:37,0
05/31/22 01:12:37,-44
05/31/22 01:13:38,4
05/31/22 01:14:38,-7
05/31/22 01:15:38,-40
05/31/22 01:16:38,-36
05/31/22 01:17:38,0
05/31/22 01:18:38,0
05/31/22 01:19:38,0
05/31/22 01:20:39,-41
05/31/22 01:21:40,-4
05/31/22 01:22:40,19
05/31/22 01:23:40,20
05/31/22 01:24:40,18
05/31/22 01:25:40,-3
05/31/22 01:26:40,26
05/31/22 01:27:41,0
05/31/22 01:28:41,-4
05/31/22 01:29:41,-13
05/31/22 01:30:41,-15
05/31/22 01:31:41,-30
05/31/22 01:32:41,0
05/31/22 01:33:41,-15
05/31/22 01:34:42,21
05/31/22 01:35:42,3
05/31/22 01:36:44,0
05/31/22 01:37:45,-11
05/31/22 01:38:45,26
05/31/22 01:39:45,0
05/31/22 01:40:45,18
05/31/22 01:41:45,-18
05/31/22 01:42:45,0
05/31/22 01:43:45,19
05/31/22 01:44:46,-3
05/31/22 01:45:46,0
05/31/22 01:46:46,0
05/31/22 01:47:46,-13
05/31/22 01:48:46,-31
05/31/22 01:49:46,-7
05/31/22 01:50:47,-13
05/31/22 01:51:47,0
05/31/22 01:52:47,-2
05/31/22 01:53:47,-51
05/31/22 01:54:47,1
05/31/22 01:55:48,-1
05/31/22 01:56:48,-11
05/31/22 01:57:48,-17
05/31/22 01:58:48,-21
05/31/22 01:59:48,-6
05/31/22 02:00:48,-24
05/31/22 02:01:48,9
05/31/22 02:02:49,-1
05/31/22 02:03:49,0
05/31/22 02:04:49,-45
05/31/22 02:05:49,27
05/31/22 02:06:51,-3
05/31/22 02:07:51,-8
05/31/22 02:08:51,28
05/31/22 02:09:52,24
05/31/22 02:10:52,-1
05/31/22 02:11:52,-15
05/31/22 02:12:52,-56
05/31/22 02:13:52,0
05/31/22 02:14:52,-2
05/31/22 02:15:52,15
05/31/22 02:16:53,-1
05/31/22 02:17:53,-37
05/31/22 02:18:53,1
05/31/22 02:19:53,-26
05/31/22 02:20:53,0
05/31/22 02:21:54,28
05/31/22 02:22:55,71
05/31/22 02:23:55,1
05/31/22 02:24:55,38
05/31/22 02:25:55,0
05/31/22 02:26:55,-20
05/31/22 02:27:55,-13
05/31/22 02:28:56,-25
05/31/22 02:29:56,-4
05/31/22 02:30:56,-14
05/31/22 02:31:56,0
05/31/22 02:32:56,2
05/31/22 02:33:56,-11
05/31/22 02:34:56,-14
05/31/22 02:35:57,0
05/31/22 02:36:59,22
05/31/22 02:37:59,0
05/31/22 02:39:00,8
05/31/22 02:40:00,0
05/31/22 02:41:00,-2
05/31/22 02:42:00,3
05/31/22 02:43:00,0
05/31/22 02:44:00,-13
05/31/22 02:45:01,-1
05/31/22 02:46:01,10
05/31/22 02:47:01,-64
05/31/22 02:48:01,2
05/31/22 02:49:01,1
05/31/22 02:50:01,-56
05/31/22 02:51:01,-44
05/31/22 02:52:02,0
05/31/22 02:53:02,2
05/31/22 02:54:02,-1
05/31/22 02:55:03,-33
05/31/22 02:56:03,-13
05/31/22 02:57:03,-15
05/31/22 02:58:03,0
05/31/22 02:59:03,0
05/31/22 03:00:03,8
05/31/22 03:01:04,23
05/31/22 03:02:04,-49
05/31/22 03:03:04,-33
05/31/22 03:04:04,-11
05/31/22 03:05:04,-8
05/31/22 03:06:04,0
