timestamp,Infrared to Red Signal Ratio
05/21/22 00:00:50,0
05/21/22 00:01:50,-28
05/21/22 00:02:51,-43
05/21/22 00:03:51,-7
05/21/22 00:04:51,-1
05/21/22 00:05:51,0
05/21/22 00:06:51,0
05/21/22 00:07:51,-22
05/21/22 00:08:52,-10
05/21/22 00:09:52,-10
05/21/22 00:10:52,-34
05/21/22 00:11:52,-31
05/21/22 00:12:52,0
05/21/22 00:13:52,-10
05/21/22 00:14:52,-8
05/21/22 00:15:53,-55
05/21/22 00:16:53,-40
05/21/22 00:17:53,-10
05/21/22 00:18:53,0
05/21/22 00:19:53,13
05/21/22 00:20:53,0
05/21/22 00:21:54,1
05/21/22 00:22:54,45
05/21/22 00:23:54,-3
05/21/22 00:24:54,45
05/21/22 00:25:54,32
05/21/22 00:26:54,-11
05/21/22 00:27:54,10
05/21/22 00:28:55,-1
05/21/22 00:29:55,-30
05/21/22 00:30:55,0
05/21/22 00:31:55,0
05/21/22 00:32:55,0
05/21/22 00:33:55,-4
05/21/22 00:34:55,0
05/21/22 00:35:56,-17
05/21/22 00:36:56,-3
05/21/22 00:37:56,-5
05/21/22 00:38:56,-4
05/21/22 00:39:56,-17
05/21/22 00:40:56,16
05/21/22 00:41:56,4
05/21/22 00:42:57,-9
05/21/22 00:43:57,17
05/21/22 00:44:57,3
05/21/22 00:45:57,4
05/21/22 00:46:57,-9
05/21/22 00:47:57,-1
05/21/22 00:48:58,-58
05/21/22 00:49:58,-8
05/21/22 00:50:58,66
05/21/22 00:51:58,-7
05/21/22 00:52:58,-12
05/21/22 00:53:58,-32
05/21/22 00:54:58,14
05/21/22 00:55:59,22
05/21/22 00:56:59,-3
05/21/22 00:57:59,0
05/21/22 00:58:59,0
05/21/22 00:59:59,-17
05/21/22 01:00:59,0
05/21/22 01:01:59,-46
05/21/22 01:03:00,-42
05/21/22 01:04:00,-8
05/21/22 01:05:00,0
05/21/22 01:06:00,-33
05/21/22 01:07:00,0
05/21/22 01:08:00,4
05/21/22 01:09:01,10
05/21/22 01:10:01,0
05/21/22 01:11:01,0
05/21/22 01:12:01,10
05/21/22 01:13:01,-5
05/21/22 01:14:01,0
05/21/22 01:15:01,-3
05/21/22 01:16:02,-29
05/21/22 01:17:02,0
05/21/22 01:18:02,-23
05/21/22 01:19:02,52
05/21/22 01:20:02,4
05/21/22 01:21:02,-27
05/21/22 01:22:02,-44
05/21/22 01:23:03,-1
05/21/22 01:24:03,-1
05/21/22 01:25:03,-4
05/21/22 01:26:03,13
05/21/22 01:27:03,10
05/21/22 01:28:03,0
05/21/22 01:29:04,8
05/21/22 01:30:04,3
05/21/22 01:31:04,0
05/21/22 01:32:04,-3
05/21/22 01:33:04,-1
05/21/22 01:34:04,-12
05/21/22 01:35:05,-4
05/21/22 01:36:05,-2
05/21/22 01:37:05,1
05/21/22 01:38:05,0
05/21/22 01:39:05,-2
05/21/22 01:40:05,-7
05/21/22 01:41:05,4
05/21/22 01:42:06,-26
05/21/22 01:43:06,-17
05/21/22 01:44:06,0
05/21/22 01:45:06,-5
05/21/22 01:46:06,-32
05/21/22 01:47:06,-17
05/21/22 01:48:06,-9
05/21/22 01:49:07,-25
05/21/22 01:50:07,0
05/21/22 01:51:07,8
05/21/22 01:52:07,24
05/21/22 01:53:07,-4
05/21/22 01:54:07,7
05/21/22 01:55:08,7
05/21/22 01:56:08,29
05/21/22 01:57:08,6
05/21/22 01:58:08,0
05/21/22 01:59:08,32
05/21/22 02:00:08,0
05/21/22 02:01:08,4
05/21/22 02:02:09,-40
05/21/22 02:03:09,-47
05/21/22 02:04:09,0
05/21/22 02:05:09,-9
05/21/22 02:06:09,2
05/21/22 02:07:09,-8
05/21/22 02:08:09,0
05/21/22 02:09:10,-3
05/21/22 02:10:10,-2
05/21/22 02:11:10,-10
05/21/22 02:12:10,-1
05/21/22 02:13:10,-26
05/21/22 02:14:10,-8
05/21/22 02:15:11,-14
05/21/22 02:16:11,0
05/21/22 02:17:11,-4
05/21/22 02:18:11,-4
05/21/22 02:19:11,0
05/21/22 02:20:11,33
05/21/22 02:21:11,0
05/21/22 02:22:12,0
05/21/22 02:23:12,-27
05/21/22 02:24:12,31
05/21/22 02:25:12,-27
05/21/22 02:26:12,30
05/21/22 02:27:12,-1
05/21/22 02:28:12,-31
05/21/22 02:29:13,30
05/21/22 02:30:13,4
05/21/22 02:31:13,-10
05/21/22 02:32:13,46
05/21/22 02:33:13,0
05/21/22 02:34:13,0
05/21/22 02:35:14,13
05/21/22 02:36:14,-4
05/21/22 02:37:14,21
05/21/22 02:38:14,-8
05/21/22 02:39:14,3
05/21/22 02:40:14,32
05/21/22 02:41:14,4
05/21/22 02:42:15,-4
05/21/22 02:43:15,0
05/21/22 02:44:15,-1
05/21/22 02:45:15,0
05/21/22 02:46:15,-17
05/21/22 02:47:15,2
05/21/22 02:48:15,0
05/21/22 02:49:16,-32
05/21/22 02:50:16,1
05/21/22 02:51:16,0
05/21/22 02:52:16,8
05/21/22 02:53:16,-9
05/21/22 02:54:16,1
05/21/22 02:55:16,6
05/21/22 02:56:17,0
05/21/22 02:57:17,40
05/21/22 02:58:17,5
05/21/22 02:59:17,0
05/21/22 03:00:17,33
05/21/22 03:01:17,0
05/21/22 03:02:17,33
05/21/22 03:03:18,-21
05/21/22 03:04:18,5
05/21/22 03:05:18,3
05/21/22 03:06:18,43
05/21/22 03:07:18,0
05/21/22 03:08:18,4
05/21/22 03:09:19,-8
05/21/22 03:10:19,0
05/21/22 03:11:19,-9
05/21/22 03:12:19,-52
05/21/22 03:13:19,0
05/21/22 03:14:19,0
05/21/22 03:15:19,0
05/21/22 03:16:20,19
05/21/22 03:17:20,0
05/21/22 03:18:20,-63
05/21/22 03:19:20,0
05/21/22 03:20:20,0
05/21/22 03:21:20,0
05/21/22 03:22:20,-9
05/21/22 03:23:21,0
05/21/22 03:24:21,17
05/21/22 03:25:21,-30
05/21/22 03:26:21,-8
05/21/22 03:27:21,2
05/21/22 03:28:21,0
05/21/22 03:29:22,-36
05/21/22 03:30:22,-19
05/21/22 03:31:22,4
05/21/22 03:32:22,17
05/21/22 03:33:22,8
05/21/22 03:34:22,0
05/21/22 03:35:22,-5
05/21/22 03:36:23,13
05/21/22 03:37:23,1
05/21/22 03:38:23,3
05/21/22 03:39:23,-47
05/21/22 03:40:23,0
05/21/22 03:41:23,13
05/21/22 03:42:24,1
05/21/22 03:43:24,0
05/21/22 03:44:24,-13
05/21/22 03:45:24,0
05/21/22 03:46:24,-6
05/21/22 03:47:24,-4
05/21/22 03:48:24,-21
05/21/22 03:49:25,11
05/21/22 03:50:25,-3
05/21/22 03:51:25,-22
05/21/22 03:52:25,-4
05/21/22 03:53:25,14
05/21/22 03:54:25,0
05/21/22 03:55:25,2
05/21/22 03:56:26,-17
05/21/22 03:57:26,0
05/21/22 03:58:26,0
05/21/22 03:59:26,-46
05/21/22 04:00:26,0
05/21/22 04:01:26,17
05/21/22 04:02:27,22
05/21/22 04:03:27,10
05/21/22 04:04:27,-4
05/21/22 04:05:27,-6
05/21/22 04:06:27,0
05/21/22 04:07:27,14
05/21/22 04:08:27,0
05/21/22 04:09:28,-12
05/21/22 04:10:28,8
05/21/22 04:11:28,-43
05/21/22 04:12:28,19
05/21/22 04:13:28,-3
05/21/22 04:14:28,28
05/21/22 04:15:29,0
05/21/22 04:16:29,4
05/21/22 04:17:29,-11
05/21/22 04:18:29,0
05/21/22 04:19:29,0
05/21/22 04:20:29,-1
05/21/22 04:21:29,-6
05/21/22 04:22:30,5
05/21/22 04:23:30,22
05/21/22 04:24:30,-2
05/21/22 04:25:30,4
05/21/22 04:26:30,4
05/21/22 04:27:30,-23
05/21/22 04:28:30,0
05/21/22 04:29:31,0
05/21/22 04:30:31,0
05/21/22 04:31:31,-4
05/21/22 04:32:31,38
05/21/22 04:33:31,13
05/21/22 04:34:31,2
05/21/22 04:35:32,42
05/21/22 04:36:32,-2
05/21/22 04:37:32,13
05/21/22 04:38:32,-5
05/21/22 04:39:32,0
05/21/22 04:40:32,20
05/21/22 04:41:32,-9
05/21/22 04:42:33,-1
05/21/22 04:43:33,0
05/21/22 04:44:33,-14
05/21/22 04:45:33,-7
05/21/22 04:46:33,4
05/21/22 04:47:33,-6
05/21/22 04:48:33,-15
05/21/22 04:49:34,0
05/21/22 04:50:34,-8
05/21/22 04:51:34,11
05/21/22 04:52:34,4
05/21/22 04:53:34,-10
05/21/22 04:54:34,2
05/21/22 04:55:35,10
05/21/22 04:56:35,-8
05/21/22 04:57:35,8
05/21/22 04:58:35,4
05/21/22 04:59:35,0
05/21/22 05:00:35,0
05/21/22 05:01:35,19
05/21/22 05:02:36,-11
05/21/22 05:03:36,0
05/21/22 05:04:36,0
05/21/22 05:05:36,-30
05/21/22 05:06:36,0
05/21/22 05:07:36,8
05/21/22 05:08:36,0
05/21/22 05:09:37,32
05/21/22 05:10:37,17
05/21/22 05:11:37,0
05/21/22 05:12:38,0
05/21/22 05:13:38,-15
05/21/22 05:14:38,7
05/21/22 05:15:38,0
05/21/22 05:16:39,30
05/21/22 05:17:39,39
05/21/22 05:18:39,0
05/21/22 05:19:39,21
05/21/22 05:20:39,0
05/21/22 05:21:39,19
05/21/22 05:22:40,-4
