timestamp,Infrared to Red Signal Ratio
04/14/22 00:00:46,-35
04/14/22 00:01:46,3
04/14/22 00:02:46,19
04/14/22 00:03:46,-25
04/14/22 00:04:46,-37
04/14/22 00:05:47,-58
04/14/22 00:06:47,-1
04/14/22 00:07:47,-25
04/14/22 00:08:47,0
04/14/22 00:09:47,-4
04/14/22 00:10:47,6
04/14/22 00:11:48,0
04/14/22 00:12:48,-17
04/14/22 00:13:48,0
04/14/22 00:14:48,-6
04/14/22 00:15:48,-26
04/14/22 00:16:48,-10
04/14/22 00:17:48,-40
04/14/22 00:18:49,0
04/14/22 00:19:49,0
04/14/22 00:20:49,-7
04/14/22 00:21:49,4
04/14/22 00:22:49,-25
04/14/22 00:23:49,-1
04/14/22 00:24:49,0
04/14/22 00:25:50,0
04/14/22 00:26:50,-43
04/14/22 00:27:50,0
04/14/22 00:28:51,-7
04/14/22 00:29:51,0
04/14/22 00:30:51,-3
04/14/22 00:31:52,-48
04/14/22 00:32:52,10
04/14/22 00:33:52,-20
04/14/22 00:34:52,8
04/14/22 00:35:52,0
04/14/22 00:36:52,-12
04/14/22 00:37:53,20
04/14/22 00:38:53,-16
04/14/22 00:39:53,-2
04/14/22 00:40:53,-28
04/14/22 00:41:53,-49
04/14/22 00:42:53,-29
04/14/22 00:43:55,3
04/14/22 00:44:56,0
04/14/22 00:45:56,-7
04/14/22 00:46:56,4
04/14/22 00:47:56,12
04/14/22 00:48:56,-21
04/14/22 00:49:56,1
04/14/22 00:50:56,26
04/14/22 00:51:57,7
04/14/22 00:52:57,-19
04/14/22 00:53:57,-18
04/14/22 00:54:57,-17
04/14/22 00:55:57,10
04/14/22 00:56:57,5
04/14/22 00:57:58,1
04/14/22 00:58:58,1
04/14/22 00:59:59,-25
04/14/22 01:00:59,-6
04/14/22 01:01:59,-4
04/14/22 01:03:00,4
04/14/22 01:04:00,8
04/14/22 01:05:00,-10
04/14/22 01:06:00,21
04/14/22 01:07:00,32
04/14/22 01:08:00,12
04/14/22 01:09:00,2
04/14/22 01:10:01,0
04/14/22 01:11:01,-4
04/14/22 01:12:01,-1
04/14/22 01:13:01,-4
04/14/22 01:14:01,-16
04/14/22 01:15:01,0
04/14/22 01:16:01,-38
04/14/22 01:17:02,-1
04/14/22 01:18:02,-13
04/14/22 01:19:02,0
04/14/22 01:20:02,-21
04/14/22 01:21:02,-24
04/14/22 01:22:02,0
04/14/22 01:23:03,0
04/14/22 01:24:03,-4
04/14/22 01:25:03,-35
04/14/22 01:26:03,0
04/14/22 01:27:03,-4
04/14/22 01:28:03,-2
04/14/22 01:29:03,-9
04/14/22 01:30:05,-24
04/14/22 01:31:05,-27
04/14/22 01:32:06,-8
04/14/22 01:33:06,4
04/14/22 01:34:06,-64
04/14/22 01:35:06,1
04/14/22 01:36:06,-82
04/14/22 01:37:06,-6
04/14/22 01:38:07,-11
04/14/22 01:39:07,-25
04/14/22 01:40:07,26
04/14/22 01:41:07,5
04/14/22 01:42:07,0
04/14/22 01:43:07,0
04/14/22 01:44:07,1
04/14/22 01:45:08,0
04/14/22 01:46:08,-14
04/14/22 01:47:08,-3
04/14/22 01:48:08,13
04/14/22 01:49:08,24
04/14/22 01:50:08,-39
04/14/22 01:51:08,0
04/14/22 01:52:09,-8
04/14/22 01:53:09,0
04/14/22 01:54:09,-1
04/14/22 01:55:09,-31
04/14/22 01:56:09,-30
04/14/22 01:57:09,0
04/14/22 01:58:10,9
04/14/22 01:59:10,3
04/14/22 02:00:10,-1
04/14/22 02:01:10,34
04/14/22 02:02:10,0
04/14/22 02:03:10,3
04/14/22 02:04:10,0
04/14/22 02:05:11,11
04/14/22 02:06:11,0
04/14/22 02:07:11,-41
04/14/22 02:08:11,-10
04/14/22 02:09:11,0
04/14/22 02:10:11,1
04/14/22 02:11:11,11
04/14/22 02:12:12,4
04/14/22 02:13:12,37
04/14/22 02:14:12,-20
04/14/22 02:15:12,15
04/14/22 02:16:12,21
04/14/22 02:17:12,8
04/14/22 02:18:13,21
04/14/22 02:19:13,-1
04/14/22 02:20:13,13
04/14/22 02:21:13,-8
04/14/22 02:22:13,8
04/14/22 02:23:13,22
04/14/22 02:24:13,0
04/14/22 02:25:13,0
04/14/22 02:26:13,-8
04/14/22 02:27:14,-16
04/14/22 02:28:14,19
04/14/22 02:29:14,0
04/14/22 02:30:14,0
04/14/22 02:31:14,8
04/14/22 02:32:14,-5
04/14/22 02:33:14,0
04/14/22 02:34:15,7
04/14/22 02:35:15,-26
04/14/22 02:36:15,0
04/14/22 02:37:15,-4
04/14/22 02:38:15,-4
04/14/22 02:39:15,0
04/14/22 02:40:16,-89
04/14/22 02:41:16,12
04/14/22 02:42:16,-9
04/14/22 02:43:16,-13
04/14/22 02:44:16,56
04/14/22 02:45:16,0
04/14/22 02:46:16,-16
04/14/22 02:47:17,-21
04/14/22 02:48:17,52
04/14/22 02:49:17,21
04/14/22 02:50:19,-26
04/14/22 02:51:19,0
04/14/22 02:52:19,29
04/14/22 02:53:19,-7
04/14/22 02:54:19,-15
04/14/22 02:55:20,-17
04/14/22 02:56:20,-18
04/14/22 02:57:20,-20
04/14/22 02:58:20,-2
04/14/22 02:59:20,-4
04/14/22 03:00:20,20
04/14/22 03:01:20,18
04/14/22 03:02:21,5
04/14/22 03:03:21,0
04/14/22 03:04:21,0
04/14/22 03:05:22,-49
04/14/22 03:06:23,0
04/14/22 03:07:23,-5
04/14/22 03:08:23,-14
04/14/22 03:09:23,-27
04/14/22 03:10:23,0
04/14/22 03:11:23,-23
04/14/22 03:12:24,-3
04/14/22 03:13:24,39
04/14/22 03:14:24,-5
04/14/22 03:15:24,-3
04/14/22 03:16:24,-32
04/14/22 03:17:24,-9
04/14/22 03:18:25,0
04/14/22 03:19:25,-38
04/14/22 03:20:26,-9
04/14/22 03:21:26,-15
04/14/22 03:22:26,-14
04/14/22 03:23:26,-13
04/14/22 03:24:26,-2
04/14/22 03:25:27,2
04/14/22 03:26:27,8
04/14/22 03:27:27,0
04/14/22 03:28:27,0
04/14/22 03:29:27,4
04/14/22 03:30:27,-21
04/14/22 03:31:27,19
04/14/22 03:32:28,-22
04/14/22 03:33:28,2
04/14/22 03:34:28,-25
04/14/22 03:35:31,-8
04/14/22 03:36:31,1
04/14/22 03:37:31,2
04/14/22 03:38:32,11
04/14/22 03:39:32,-39
04/14/22 03:40:32,-19
04/14/22 03:41:32,0
04/14/22 03:42:32,-62
04/14/22 03:43:32,-27
04/14/22 03:44:32,-1
04/14/22 03:45:33,0
04/14/22 03:46:33,-16
04/14/22 03:47:33,0
04/14/22 03:48:33,-11
04/14/22 03:49:33,1
04/14/22 03:50:33,-52
04/14/22 03:51:33,-13
04/14/22 03:52:34,0
04/14/22 03:53:34,78
04/14/22 03:54:34,54
04/14/22 03:55:34,22
04/14/22 03:56:34,-30
04/14/22 03:57:34,0
04/14/22 03:58:35,0
04/14/22 03:59:35,0
04/14/22 04:00:35,-6
04/14/22 04:01:35,-12
04/14/22 04:02:35,0
04/14/22 04:03:35,-12
04/14/22 04:04:35,0
04/14/22 04:05:36,34
04/14/22 04:06:39,-4
04/14/22 04:07:39,66
04/14/22 04:08:40,2
