timestamp,Infrared to Red Signal Ratio
05/14/22 06:16:31,2
05/14/22 06:17:34,0
05/14/22 06:18:34,-2
05/14/22 06:19:34,0
05/14/22 06:20:35,10
05/14/22 06:21:35,0
05/14/22 06:22:35,15
05/14/22 06:23:35,18
05/14/22 06:24:35,-4
05/14/22 06:25:35,4
05/14/22 06:26:35,-17
05/14/22 06:27:36,0
05/14/22 06:28:36,-4
05/14/22 06:29:36,52
05/14/22 06:30:36,-4
05/14/22 06:31:36,-45
05/14/22 06:32:39,8
05/14/22 06:33:39,-21
05/14/22 06:34:39,8
05/14/22 06:35:39,-9
05/14/22 06:36:39,-14
05/14/22 06:37:40,5
05/14/22 06:38:40,-18
05/14/22 06:39:40,-2
05/14/22 06:40:40,-13
05/14/22 06:41:40,0
05/14/22 06:42:40,6
05/14/22 06:43:40,-26
05/14/22 06:44:41,-8
05/14/22 06:45:41,0
05/14/22 06:46:41,0
05/14/22 06:47:45,-3
05/14/22 06:48:45,4
05/14/22 06:49:45,34
05/14/22 06:50:45,-8
05/14/22 06:51:45,-8
05/14/22 06:52:45,-22
05/14/22 06:53:46,6
05/14/22 06:54:46,14
05/14/22 06:55:46,18
05/14/22 06:56:46,-2
05/14/22 06:57:46,10
05/14/22 06:58:46,-16
05/14/22 06:59:46,0
05/14/22 07:00:47,8
05/14/22 07:01:47,-16
05/14/22 07:02:50,-13
05/14/22 07:03:50,0
05/14/22 07:04:51,0
05/14/22 07:05:51,0
05/14/22 07:06:51,1
05/14/22 07:07:51,0
05/14/22 07:08:51,0
05/14/22 07:09:51,26
05/14/22 07:10:51,-5
05/14/22 07:11:52,-4
05/14/22 07:12:52,-1
05/14/22 07:13:52,-17
05/14/22 07:14:52,0
05/14/22 07:15:52,-11
05/14/22 07:16:52,0
05/14/22 07:17:52,11
05/14/22 07:18:52,-24
05/14/22 07:19:52,0
05/14/22 07:20:53,1
05/14/22 07:21:53,17
05/14/22 07:22:53,47
05/14/22 07:23:53,-2
05/14/22 07:24:53,-2
05/14/22 07:25:53,-15
05/14/22 07:26:53,0
05/14/22 07:27:54,0
05/14/22 07:28:54,19
05/14/22 07:29:54,-4
05/14/22 07:30:54,-1
05/14/22 07:31:54,-2
05/14/22 07:32:56,-8
05/14/22 07:33:57,19
05/14/22 07:34:57,4
05/14/22 07:35:57,8
05/14/22 07:36:57,0
05/14/22 07:37:57,-11
05/14/22 07:38:57,0
05/14/22 07:39:57,-14
05/14/22 07:40:58,36
05/14/22 07:41:58,0
05/14/22 07:42:58,-13
05/14/22 07:43:58,0
05/14/22 07:44:58,8
05/14/22 07:45:58,-4
05/14/22 07:46:59,-15
05/14/22 07:48:00,4
05/14/22 07:49:01,6
05/14/22 07:50:01,0
05/14/22 07:51:01,0
05/14/22 07:52:01,1
05/14/22 07:53:01,10
05/14/22 07:54:01,-11
05/14/22 07:55:02,0
05/14/22 07:56:02,-5
05/14/22 07:57:02,-2
05/14/22 07:58:02,-6
05/14/22 07:59:02,-21
05/14/22 08:00:02,0
05/14/22 08:01:02,-37
05/14/22 08:02:03,9
05/14/22 08:03:05,-4
05/14/22 08:04:06,4
05/14/22 08:05:06,-13
05/14/22 08:06:06,27
05/14/22 08:07:06,0
05/14/22 08:08:06,18
05/14/22 08:09:06,9
05/14/22 08:10:06,-50
05/14/22 08:11:07,4
05/14/22 08:12:07,-15
05/14/22 08:13:07,-8
05/14/22 08:14:07,0
05/14/22 08:15:07,13
05/14/22 08:16:07,6
05/14/22 08:17:07,30
05/14/22 08:18:09,0
05/14/22 08:19:09,50
05/14/22 08:20:09,0
05/14/22 08:21:09,4
05/14/22 08:22:10,17
05/14/22 08:23:10,4
05/14/22 08:24:10,-17
05/14/22 08:25:10,-3
05/14/22 08:26:10,0
05/14/22 08:27:10,7
05/14/22 08:28:10,-7
05/14/22 08:29:11,0
05/14/22 08:30:11,0
05/14/22 08:31:11,-4
05/14/22 08:32:11,22
05/14/22 08:33:14,2
05/14/22 08:34:14,0
05/14/22 08:35:14,0
05/14/22 08:36:14,-65
05/14/22 08:37:14,0
05/14/22 08:38:14,0
05/14/22 08:39:15,0
05/14/22 08:40:15,-8
05/14/22 08:41:15,-8
05/14/22 08:42:15,0
05/14/22 08:43:15,22
05/14/22 08:44:15,0
05/14/22 08:45:15,10
05/14/22 08:46:16,0
05/14/22 08:47:16,13
05/14/22 08:48:17,5
05/14/22 08:49:17,0
05/14/22 08:50:18,0
05/14/22 08:51:18,1
05/14/22 08:52:18,-4
05/14/22 08:53:18,0
05/14/22 08:54:18,0
05/14/22 08:55:18,-10
05/14/22 08:56:19,2
05/14/22 08:57:19,-30
05/14/22 08:58:19,-2
05/14/22 08:59:19,0
05/14/22 09:00:19,0
05/14/22 09:01:19,-9
05/14/22 09:02:19,-8
05/14/22 09:03:21,6
05/14/22 09:04:22,12
05/14/22 09:05:22,-2
05/14/22 09:06:22,33
05/14/22 09:07:22,-4
05/14/22 09:08:22,-9
05/14/22 09:09:22,26
05/14/22 09:10:23,-1
05/14/22 09:11:23,12
05/14/22 09:12:23,-17
05/14/22 09:13:23,-26
05/14/22 09:14:23,-1
05/14/22 09:15:23,-7
05/14/22 09:16:23,19
05/14/22 09:17:24,3
05/14/22 09:18:25,7
05/14/22 09:19:25,0
05/14/22 09:20:25,-19
05/14/22 09:21:25,0
05/14/22 09:22:25,-78
05/14/22 09:23:25,-26
05/14/22 09:24:25,0
05/14/22 09:25:26,-12
05/14/22 09:26:26,-7
05/14/22 09:27:26,-10
05/14/22 09:28:26,0
05/14/22 09:29:26,-11
05/14/22 09:30:26,-4
05/14/22 09:31:27,-4
05/14/22 09:32:27,0
05/14/22 09:33:29,-5
05/14/22 09:34:30,0
05/14/22 09:35:30,0
05/14/22 09:36:30,8
05/14/22 09:37:30,0
05/14/22 09:38:30,-8
05/14/22 09:39:30,-2
05/14/22 09:40:30,0
05/14/22 09:41:31,0
05/14/22 09:42:31,3
05/14/22 09:43:31,-3
05/14/22 09:44:31,-17
05/14/22 09:45:31,4
05/14/22 09:46:31,-4
05/14/22 09:47:31,0
05/14/22 09:48:32,-14
05/14/22 09:49:32,0
05/14/22 09:50:32,2
05/14/22 09:51:33,1
05/14/22 09:52:33,0
05/14/22 09:53:33,9
05/14/22 09:54:33,-13
05/14/22 09:55:33,-5
05/14/22 09:56:33,0
05/14/22 09:57:33,0
05/14/22 09:58:34,-8
05/14/22 09:59:34,-5
05/14/22 10:00:34,21
05/14/22 10:01:34,9
05/14/22 10:02:34,13
05/14/22 10:03:38,0
05/14/22 10:04:38,-11
05/14/22 10:05:39,0
05/14/22 10:06:39,8
05/14/22 10:07:39,0
05/14/22 10:08:39,-15
05/14/22 10:09:39,0
05/14/22 10:10:39,0
