timestamp,Infrared to Red Signal Ratio
05/19/22 00:00:18,0
05/19/22 00:01:18,-8
05/19/22 00:02:19,21
05/19/22 00:03:19,-2
05/19/22 00:04:19,-24
05/19/22 00:05:19,0
05/19/22 00:06:19,26
05/19/22 00:07:19,2
05/19/22 00:08:19,-3
05/19/22 00:09:19,0
05/19/22 00:10:19,-16
05/19/22 00:11:20,-26
05/19/22 00:12:20,28
05/19/22 00:13:20,3
05/19/22 00:14:20,38
05/19/22 00:15:20,21
05/19/22 00:16:20,-1
05/19/22 00:17:20,2
05/19/22 00:18:21,23
05/19/22 00:19:21,14
05/19/22 00:20:21,2
05/19/22 00:21:21,-32
05/19/22 00:22:22,-42
05/19/22 00:23:22,2
05/19/22 00:24:22,-12
05/19/22 00:25:22,0
05/19/22 00:26:22,-70
05/19/22 00:27:23,0
05/19/22 00:28:23,-1
05/19/22 00:29:23,21
05/19/22 00:30:23,8
05/19/22 00:31:23,21
05/19/22 00:32:23,-3
05/19/22 00:33:23,13
05/19/22 00:34:24,22
05/19/22 00:35:24,-4
05/19/22 00:36:24,42
05/19/22 00:37:24,12
05/19/22 00:38:25,-11
05/19/22 00:39:25,0
05/19/22 00:40:25,0
05/19/22 00:41:25,-1
05/19/22 00:42:25,26
05/19/22 00:43:25,0
05/19/22 00:44:25,8
05/19/22 00:45:26,-61
05/19/22 00:46:26,4
05/19/22 00:47:26,0
05/19/22 00:48:26,24
05/19/22 00:49:26,-15
05/19/22 00:50:26,0
05/19/22 00:51:27,-26
05/19/22 00:52:27,0
05/19/22 00:53:27,8
05/19/22 00:54:27,19
05/19/22 00:55:27,13
05/19/22 00:56:27,11
05/19/22 00:57:27,0
05/19/22 00:58:28,54
05/19/22 00:59:28,-1
05/19/22 01:00:28,0
05/19/22 01:01:28,-9
05/19/22 01:02:28,33
05/19/22 01:03:28,8
05/19/22 01:04:28,-4
05/19/22 01:05:29,4
05/19/22 01:06:29,8
05/19/22 01:07:32,0
05/19/22 01:08:32,28
05/19/22 01:09:32,18
05/19/22 01:10:33,29
05/19/22 01:11:33,-32
05/19/22 01:12:33,12
05/19/22 01:13:33,-1
05/19/22 01:14:33,9
05/19/22 01:15:33,0
05/19/22 01:16:33,-15
05/19/22 01:17:34,-17
05/19/22 01:18:34,-4
05/19/22 01:19:34,0
05/19/22 01:20:34,8
05/19/22 01:21:34,1
05/19/22 01:22:34,0
05/19/22 01:23:34,14
05/19/22 01:24:34,4
05/19/22 01:25:34,-13
05/19/22 01:26:34,-14
05/19/22 01:27:34,0
05/19/22 01:28:34,-1
05/19/22 01:29:35,1
05/19/22 01:30:35,-30
05/19/22 01:31:35,5
05/19/22 01:32:35,15
05/19/22 01:33:35,21
05/19/22 01:34:35,4
05/19/22 01:35:36,-7
05/19/22 01:36:36,-8
05/19/22 01:37:36,-3
05/19/22 01:38:36,2
05/19/22 01:39:36,-7
05/19/22 01:40:36,4
05/19/22 01:41:37,1
05/19/22 01:42:37,-13
05/19/22 01:43:37,10
05/19/22 01:44:37,0
05/19/22 01:45:37,-1
05/19/22 01:46:37,0
05/19/22 01:47:38,20
05/19/22 01:48:38,0
05/19/22 01:49:38,11
05/19/22 01:50:38,-2
05/19/22 01:51:38,-8
05/19/22 01:52:38,24
05/19/22 01:53:39,2
05/19/22 01:54:39,-13
05/19/22 01:55:39,-5
05/19/22 01:56:39,8
05/19/22 01:57:39,10
05/19/22 01:58:39,7
05/19/22 01:59:40,-88
05/19/22 02:00:40,0
05/19/22 02:01:40,0
05/19/22 02:02:40,-7
05/19/22 02:03:40,-10
05/19/22 02:04:40,0
05/19/22 02:05:40,0
05/19/22 02:06:41,0
05/19/22 02:07:41,13
05/19/22 02:08:41,37
05/19/22 02:09:41,-31
05/19/22 02:10:41,13
05/19/22 02:11:41,0
05/19/22 02:12:42,0
05/19/22 02:13:42,-5
05/19/22 02:14:42,14
05/19/22 02:15:42,-25
05/19/22 02:16:42,0
05/19/22 02:17:42,-4
05/19/22 02:18:43,0
05/19/22 02:19:43,0
05/19/22 02:20:43,-29
05/19/22 02:21:43,-4
05/19/22 02:22:43,8
05/19/22 02:23:43,15
05/19/22 02:24:43,4
05/19/22 02:25:43,0
05/19/22 02:26:43,0
05/19/22 02:27:44,-21
05/19/22 02:28:44,-21
05/19/22 02:29:44,-12
05/19/22 02:30:44,15
05/19/22 02:31:44,12
05/19/22 02:32:44,-8
05/19/22 02:33:44,-14
05/19/22 02:34:45,-18
05/19/22 02:35:45,0
05/19/22 02:36:45,-8
05/19/22 02:37:45,0
05/19/22 02:38:45,5
