timestamp,Infrared to Red Signal Ratio
05/27/22 00:37:30,-7
05/27/22 00:38:33,-19
05/27/22 00:39:33,0
05/27/22 00:40:33,-11
05/27/22 00:41:33,8
05/27/22 00:42:33,-2
05/27/22 00:43:33,-13
05/27/22 00:44:34,0
05/27/22 00:45:34,4
05/27/22 00:46:34,7
05/27/22 00:47:34,2
05/27/22 00:48:34,0
05/27/22 00:49:34,0
05/27/22 00:50:35,0
05/27/22 00:51:35,0
05/27/22 00:52:35,0
05/27/22 00:53:36,0
05/27/22 00:54:59,0
05/27/22 00:55:59,0
05/27/22 00:56:59,0
05/27/22 00:57:59,0
05/27/22 00:59:00,0
05/27/22 01:00:00,0
05/27/22 01:01:00,0
05/27/22 01:02:00,0
05/27/22 01:03:00,0
05/27/22 01:04:00,0
05/27/22 01:05:00,0
05/27/22 01:06:01,0
05/27/22 01:07:01,17
05/27/22 01:08:01,0
05/27/22 01:09:02,12
05/27/22 01:10:02,34
05/27/22 01:11:02,0
05/27/22 01:12:02,-26
05/27/22 01:13:03,-5
05/27/22 01:14:03,0
05/27/22 01:15:03,4
05/27/22 01:16:03,20
05/27/22 01:17:03,15
05/27/22 01:18:03,-43
05/27/22 01:19:03,20
05/27/22 01:20:04,9
05/27/22 01:21:04,0
05/27/22 01:22:04,0
05/27/22 01:23:04,-1
05/27/22 01:24:07,0
05/27/22 01:25:08,-5
05/27/22 01:26:08,16
05/27/22 01:27:08,0
05/27/22 01:28:08,8
05/27/22 01:29:08,46
05/27/22 01:30:08,-12
05/27/22 01:31:08,28
05/27/22 01:32:09,-13
05/27/22 01:33:09,3
05/27/22 01:34:09,11
05/27/22 01:35:09,5
05/27/22 01:36:09,0
05/27/22 01:37:09,0
05/27/22 01:38:10,-6
05/27/22 01:39:09,15
05/27/22 01:40:09,1
05/27/22 01:41:09,2
05/27/22 01:42:10,18
05/27/22 01:43:10,0
05/27/22 01:44:10,13
05/27/22 01:45:10,18
05/27/22 01:46:10,7
05/27/22 01:47:10,-7
05/27/22 01:48:10,0
05/27/22 01:49:11,32
05/27/22 01:50:11,-8
05/27/22 01:51:11,-3
05/27/22 01:52:11,-17
05/27/22 01:53:11,2
05/27/22 01:54:14,-3
05/27/22 01:55:15,2
05/27/22 01:56:15,-20
05/27/22 01:57:15,0
05/27/22 01:58:15,-9
05/27/22 01:59:15,6
05/27/22 02:00:15,0
05/27/22 02:01:16,8
05/27/22 02:02:16,1
05/27/22 02:03:16,14
05/27/22 02:04:16,-10
05/27/22 02:05:16,-16
05/27/22 02:06:16,0
05/27/22 02:07:16,0
05/27/22 02:08:17,-52
05/27/22 02:09:18,4
05/27/22 02:10:18,-1
05/27/22 02:11:19,3
05/27/22 02:12:19,-4
05/27/22 02:13:19,29
05/27/22 02:14:19,2
05/27/22 02:15:19,-38
05/27/22 02:16:19,33
05/27/22 02:17:19,0
05/27/22 02:18:20,0
05/27/22 02:19:20,2
05/27/22 02:20:20,2
05/27/22 02:21:20,-13
05/27/22 02:22:20,-30
05/27/22 02:23:20,7
05/27/22 02:24:22,-28
05/27/22 02:25:23,-19
05/27/22 02:26:23,-17
05/27/22 02:27:23,0
05/27/22 02:28:23,-12
05/27/22 02:29:23,-4
05/27/22 02:30:23,0
05/27/22 02:31:23,6
05/27/22 02:32:24,0
05/27/22 02:33:24,-36
05/27/22 02:34:24,18
05/27/22 02:35:24,8
05/27/22 02:36:24,44
05/27/22 02:37:24,0
05/27/22 02:38:25,0
05/27/22 02:39:28,0
05/27/22 02:40:28,1
05/27/22 02:41:28,-29
05/27/22 02:42:28,13
05/27/22 02:43:28,44
05/27/22 02:44:28,0
05/27/22 02:45:28,0
05/27/22 02:46:29,-19
05/27/22 02:47:29,0
05/27/22 02:48:29,2
05/27/22 02:49:29,19
05/27/22 02:50:29,38
05/27/22 02:51:29,0
05/27/22 02:52:30,57
05/27/22 02:53:30,14
05/27/22 02:54:32,-6
05/27/22 02:55:32,0
05/27/22 02:56:32,10
05/27/22 02:57:32,0
05/27/22 02:58:32,1
05/27/22 02:59:33,-21
05/27/22 03:00:33,-8
05/27/22 03:01:33,0
05/27/22 03:02:33,14
05/27/22 03:03:33,0
05/27/22 03:04:33,-42
05/27/22 03:05:33,-37
05/27/22 03:06:34,-27
05/27/22 03:07:34,0
05/27/22 03:08:34,-2
05/27/22 03:09:36,0
05/27/22 03:10:36,-21
05/27/22 03:11:36,-3
05/27/22 03:12:36,2
05/27/22 03:13:37,-13
05/27/22 03:14:37,0
05/27/22 03:15:37,0
05/27/22 03:16:37,0
05/27/22 03:17:37,10
05/27/22 03:18:37,7
05/27/22 03:19:37,1
05/27/22 03:20:38,-21
05/27/22 03:21:38,8
05/27/22 03:22:38,-20
05/27/22 03:23:38,-26
05/27/22 03:24:40,12
05/27/22 03:25:40,-10
05/27/22 03:26:40,-11
05/27/22 03:27:40,0
05/27/22 03:28:40,0
05/27/22 03:29:40,-1
05/27/22 03:30:41,-5
05/27/22 03:31:41,-9
05/27/22 03:32:41,1
05/27/22 03:33:41,-8
05/27/22 03:34:41,0
05/27/22 03:35:41,-7
05/27/22 03:36:41,29
05/27/22 03:37:42,-12
05/27/22 03:38:42,0
05/27/22 03:39:44,-6
05/27/22 03:40:45,0
05/27/22 03:41:45,-58
05/27/22 03:42:45,-18
05/27/22 03:43:45,-7
05/27/22 03:44:45,0
05/27/22 03:45:45,14
05/27/22 03:46:45,-7
05/27/22 03:47:46,0
05/27/22 03:48:46,0
05/27/22 03:49:46,0
05/27/22 03:50:46,16
05/27/22 03:51:46,2
05/27/22 03:52:46,0
05/27/22 03:53:47,1
05/27/22 03:54:48,2
05/27/22 03:55:48,7
05/27/22 03:56:48,-13
