timestamp,Infrared to Red Signal Ratio
03/22/22 02:17:32,38
03/22/22 02:18:32,0
03/22/22 02:19:32,34
03/22/22 02:20:32,-7
03/22/22 02:21:33,-41
03/22/22 02:22:33,0
03/22/22 02:23:33,-17
03/22/22 02:24:33,0
03/22/22 02:25:33,0
03/22/22 02:26:33,-1
03/22/22 02:27:33,0
03/22/22 02:28:34,9
03/22/22 02:29:34,0
03/22/22 02:30:34,27
03/22/22 02:31:34,8
03/22/22 02:32:37,17
03/22/22 02:33:37,-13
03/22/22 02:34:37,5
03/22/22 02:35:38,14
03/22/22 02:36:38,-1
03/22/22 02:37:38,24
03/22/22 02:38:38,16
03/22/22 02:39:38,17
03/22/22 02:40:38,0
03/22/22 02:41:39,-45
03/22/22 02:42:39,1
03/22/22 02:43:39,0
03/22/22 02:44:39,0
03/22/22 02:45:39,-7
03/22/22 02:46:39,-8
03/22/22 02:47:39,4
03/22/22 02:48:39,17
03/22/22 02:49:39,17
03/22/22 02:50:39,31
03/22/22 02:51:40,-2
03/22/22 02:52:40,23
03/22/22 02:53:40,5
03/22/22 02:54:40,-9
03/22/22 02:55:40,-30
03/22/22 02:56:40,0
03/22/22 02:57:40,0
03/22/22 02:58:41,15
03/22/22 02:59:41,0
03/22/22 03:00:41,0
03/22/22 03:01:41,-3
03/22/22 03:02:43,-3
03/22/22 03:03:44,-41
03/22/22 03:04:44,13
03/22/22 03:05:44,5
03/22/22 03:06:44,20
03/22/22 03:07:44,-11
03/22/22 03:08:44,50
03/22/22 03:09:44,13
03/22/22 03:10:45,0
03/22/22 03:11:45,21
03/22/22 03:12:45,34
03/22/22 03:13:45,2
03/22/22 03:14:45,13
03/22/22 03:15:45,0
03/22/22 03:16:45,4
03/22/22 03:17:45,14
03/22/22 03:18:45,-9
03/22/22 03:19:46,0
03/22/22 03:20:46,3
03/22/22 03:21:46,-4
03/22/22 03:22:46,0
03/22/22 03:23:46,1
03/22/22 03:24:46,-4
03/22/22 03:25:46,0
03/22/22 03:26:47,-2
03/22/22 03:27:47,65
03/22/22 03:28:47,16
03/22/22 03:29:47,4
03/22/22 03:30:47,27
03/22/22 03:31:47,14
03/22/22 03:32:48,4
03/22/22 03:33:48,20
03/22/22 03:34:48,16
03/22/22 03:35:48,1
03/22/22 03:36:49,-16
03/22/22 03:37:49,37
03/22/22 03:38:49,0
03/22/22 03:39:49,0
03/22/22 03:40:49,0
03/22/22 03:41:49,-4
03/22/22 03:42:49,0
03/22/22 03:43:50,-8
03/22/22 03:44:50,0
03/22/22 03:45:50,12
03/22/22 03:46:50,-10
03/22/22 03:47:50,0
03/22/22 03:48:51,20
03/22/22 03:49:51,5
03/22/22 03:50:51,-12
03/22/22 03:51:51,34
03/22/22 03:52:51,0
03/22/22 03:53:51,10
03/22/22 03:54:51,30
03/22/22 03:55:52,30
03/22/22 03:56:52,2
03/22/22 03:57:52,0
03/22/22 03:58:52,8
03/22/22 03:59:52,-4
03/22/22 04:00:52,0
03/22/22 04:01:52,47
03/22/22 04:02:55,22
03/22/22 04:03:55,4
03/22/22 04:04:55,0
03/22/22 04:05:56,10
03/22/22 04:06:56,4
03/22/22 04:07:56,0
03/22/22 04:08:56,-27
03/22/22 04:09:56,0
